   22   66
        0.4795226938       -0.2351589373       -0.1144342794
       -0.0573122682        0.0087288900        0.0566199897
       -0.1312031529        0.0540270577        0.0430351503
        0.0026718597        0.0006598686        0.0039630575
       -0.0164467957        0.0127312661        0.0113244550
       -0.0201561688        0.0167232110        0.0169837306
       -0.0000054057        0.0033308264       -0.0007368507
        0.0015647928       -0.0004490081       -0.0000077730
        0.0007936371       -0.0025403946        0.0009469643
       -0.0124715478       -0.0035476985        0.0047218129
       -0.1712228058        0.0833446875       -0.0339700675
        0.0049190729        0.0041263548       -0.0060712834
       -0.0002783708        0.0003859557        0.0004654373
        0.0010601175       -0.0001333091        0.0019510885
        0.0000844701        0.0016092786       -0.0023868235
       -0.0780481907        0.0544483968        0.0152398624
       -0.0048043626       -0.0047230068        0.0004879755
        0.0007575765        0.0037465199        0.0004740258
        0.0015522539        0.0032524290        0.0013859377
       -0.0001208663       -0.0005295050       -0.0000398268
       -0.0006458603        0.0001663181        0.0003552967
       -0.0002106787       -0.0001992007       -0.0003078800
       -0.2351589373        0.3215886393       -0.1796627810
        0.0040953139       -0.0840864422        0.1326665223
        0.0394109795       -0.0874117425       -0.0006643117
        0.0027249019       -0.0016447667       -0.0028307593
        0.0345200105       -0.0209565726       -0.0236697818
       -0.0012456162        0.0020544177        0.0036954123
        0.0017016867       -0.0069639548        0.0036079905
       -0.0002895928        0.0035190885       -0.0006019023
       -0.0007731592        0.0022432748       -0.0005120826
       -0.0021948569        0.0023305526       -0.0002749907
        0.1011189186       -0.1256246146        0.0605890024
        0.0117264959       -0.0009799425        0.0108422382
        0.0010088771       -0.0009358695        0.0020732487
        0.0002042037        0.0004486382        0.0014388214
        0.0000504876        0.0001071398       -0.0008531335
        0.0470248879       -0.0052710182       -0.0090231170
       -0.0037173779       -0.0005119212       -0.0001233324
        0.0008561214        0.0003735702        0.0017857392
       -0.0009541484        0.0019578470        0.0016888137
        0.0002844416        0.0001786472       -0.0000428732
       -0.0005856914       -0.0004764252       -0.0000651053
        0.0001920537        0.0000614547       -0.0000636179
       -0.1144342794       -0.1796627810        0.6841944503
        0.0660186025        0.1434214846       -0.3726918681
        0.0520558738       -0.0180031025       -0.1465920112
        0.0307784134       -0.0143112726       -0.0193686062
       -0.0080514513        0.0014940922        0.0062964328
        0.0100222349       -0.0022386341       -0.0060323635
       -0.0008490168        0.0031915197       -0.0001984634
       -0.0002644515        0.0002298665        0.0000555204
       -0.0008522857        0.0007808355        0.0014506420
        0.0004651918        0.0013141470        0.0035476913
       -0.0350772780        0.0540705717       -0.1640236467
       -0.0249015802        0.0231505829       -0.0121955232
       -0.0007354882       -0.0004172612       -0.0001235032
        0.0003691116        0.0018788830       -0.0068990505
       -0.0004640387        0.0008865742       -0.0000980200
        0.0276863775       -0.0183086547        0.0310909364
       -0.0028734339       -0.0023062120        0.0013478477
        0.0016667655        0.0037920689       -0.0006962221
        0.0000129131        0.0016571487        0.0010945304
       -0.0000128814       -0.0002028507       -0.0000540450
       -0.0005111699       -0.0003255538        0.0000043428
       -0.0000481293       -0.0000914520       -0.0001090708
       -0.0573122682        0.0040953139        0.0660186025
        0.0576225315       -0.0051020088       -0.0563435412
       -0.0019236053       -0.0106073445        0.0179253478
