   22   66
        0.6104503018        0.1419603398       -0.0250507923
       -0.0632640311       -0.0094855813        0.0078338708
       -0.1839445562       -0.0242670527       -0.0203788946
       -0.0332579351       -0.0078297575       -0.0135891756
       -0.0044481244       -0.0062264213       -0.0063532299
       -0.0319930875       -0.0066567770       -0.0115339155
        0.0008996219        0.0001013518       -0.0011068424
        0.0010133627       -0.0000350571        0.0009616338
        0.0002958974       -0.0006142781       -0.0009452401
        0.0037657872        0.0022171860        0.0007409084
       -0.2055431002       -0.0480154049        0.0688535458
        0.0010304871       -0.0021010783        0.0084327920
       -0.0005541722        0.0000679446        0.0005934354
       -0.0009256716        0.0000382048        0.0026812053
        0.0012902818       -0.0002641667       -0.0014288719
       -0.0927001385       -0.0456083672       -0.0056411724
       -0.0009243738        0.0057782515       -0.0039956682
       -0.0019455208        0.0005516466        0.0005916012
        0.0007804131        0.0003652877       -0.0007520820
        0.0000188379       -0.0002784986       -0.0000260803
        0.0002374441        0.0000807588        0.0002626533
       -0.0002817235        0.0002214691       -0.0001496807
        0.1419603398        0.1583130651        0.1511997329
       -0.0110930389       -0.0513098084       -0.1151979144
       -0.0391559934       -0.0572643112       -0.0168908025
       -0.0102591506       -0.0018487528       -0.0050503104
       -0.0266705371       -0.0056477454       -0.0095514604
        0.0139233557        0.0042304433        0.0085176852
       -0.0001113923       -0.0031110612       -0.0044636843
       -0.0004038062        0.0035181319        0.0017993116
        0.0000856349        0.0008527822       -0.0002006167
        0.0047316946        0.0042234581       -0.0009349142
       -0.0296833012       -0.0611933204       -0.0031259389
        0.0058836484        0.0105840253       -0.0024713078
       -0.0008565117        0.0008131673        0.0026754024
        0.0001631011       -0.0000691474       -0.0005252294
        0.0003212961        0.0006190442       -0.0028134667
       -0.0513540143       -0.0000838690       -0.0036353869
        0.0022685542       -0.0021390986        0.0013103852
        0.0005616746       -0.0002476016       -0.0006082604
       -0.0007277863       -0.0008044912        0.0003609436
        0.0001467004        0.0000081397       -0.0002144602
        0.0002663093        0.0003719101       -0.0000639074
        0.0000032231        0.0001850401       -0.0001158003
       -0.0250507923        0.1511997329        0.7039094921
        0.0115411237       -0.1292835543       -0.4020434221
       -0.0460011436       -0.0230773388       -0.1277534540
        0.0245491111        0.0050599267        0.0096665486
       -0.0272135681       -0.0084869925       -0.0100474413
       -0.0205434527        0.0033418824       -0.0102325368
        0.0001021949       -0.0038864906       -0.0025107763
        0.0002687678        0.0010289979        0.0009588683
        0.0000698534        0.0016047753        0.0013549817
       -0.0016402663       -0.0044077599        0.0043541473
        0.0697974173        0.0055208867       -0.1793064897
        0.0307128143        0.0071064719       -0.0144743021
        0.0012613711       -0.0001378682       -0.0005217938
        0.0008251047        0.0005216742        0.0003961958
        0.0007996689       -0.0014665145       -0.0068684847
       -0.0187499237       -0.0060143274        0.0333224587
       -0.0006689317        0.0018045710       -0.0007550183
       -0.0004782489       -0.0000137252        0.0003527787
        0.0007296527        0.0000473431       -0.0003153838
       -0.0002424844        0.0002480629        0.0004458796
       -0.0002101140       -0.0003606318       -0.0002447250
        0.0001418456       -0.0003491216        0.0003124772
       -0.0632640311       -0.0110930389        0.0115411237
        0.0688830811        0.0120479639       -0.0133948236
       -0.0010468893       -0.0086880309       -0.0295840957
        0.0001142546       -0.0007111898       -0.0003853275
       -0.0039750145        0.0005786829       -0.0006305250
       -0.0015384509       -0.0026000756       -0.0006254781
        0.0000866972       -0.0009505002       -0.0006847548
        0.0001554349        0.0000908130        0.0002700419
       -0.0000605599        0.0000603493       -0.0001116787
        0.0005201123        0.0006232913       -0.0000957497
        0.0050614775        0.0125263598        0.0379804205
       -0.0046632441       -0.0035608442        0.0004660096
        0.0000821942       -0.0000208285       -0.0005627256
       -0.0000065711       -0.0000724984       -0.0000297518
       -0.0001075281        0.0001482925        0.0017856468
        0.0003835245        0.0007213767       -0.0058103118
       -0.0004423298        0.0008891490       -0.0000666181
       -0.0001914982        0.0000771602        0.0000576199
        0.0001020786       -0.0000954829       -0.0003272626
       -0.0001127228        0.0000020258        0.0001224812
        0.0000261286        0.0000256444        0.0000166772
       -0.0000061437        0.0000013806        0.0000690822
       -0.0094855813       -0.0513098084       -0.1292835543
        0.0120479639        0.0533222089        0.1210557085
        0.0026152017       -0.0050471669       -0.0035272435
       -0.0001349792        0.0004913903        0.0000529952
       -0.0034927023       -0.0009496006       -0.0014712838
        0.0019684961        0.0011575834        0.0012291836
       -0.0002936570       -0.0008252163       -0.0007781088
       -0.0000448231        0.0000068919       -0.0000406081
        0.0001049316        0.0000906707        0.0000804281
       -0.0003356830       -0.0010625455       -0.0000987077
       -0.0028982886        0.0058808052        0.0121916005
       -0.0028077505        0.0030983502       -0.0001811955
       -0.0002668530        0.0001369184        0.0006994794
        0.0001002009       -0.0000634297       -0.0008117906
       -0.0003192688        0.0006031984        0.0002242744
        0.0030908514       -0.0050679408        0.0007048494
       -0.0000908655       -0.0005676088        0.0000157289
        0.0001397808       -0.0000606023       -0.0000173165
        0.0001006976        0.0001553961       -0.0000365825
       -0.0000025561        0.0000771214        0.0000436328
