   24   66
        0.5200196449        0.1377178257       -0.0555786762
       -0.1161599404       -0.1361659907       -0.0526960403
       -0.1918294399       -0.0026135477        0.0022554184
       -0.0338813197       -0.0003589365       -0.0007152870
       -0.0186210474       -0.0114076538        0.0051016098
       -0.0148297845       -0.0000018939        0.0038635575
       -0.0003195401       -0.0034586180        0.0002781694
        0.0003643164        0.0006017089        0.0003332489
        0.0011239465        0.0004377372       -0.0000957077
       -0.0021818369        0.0032794009        0.0038601618
       -0.1326525534        0.0095965262        0.0732237640
       -0.0267053433        0.0054423562        0.0287053188
        0.0012435562        0.0011775105        0.0008624744
       -0.0031375206       -0.0004126811        0.0010919726
       -0.0040364870       -0.0008407887        0.0012396030
        0.0211133969       -0.0036713142       -0.0118615310
        0.0005060840        0.0009698106        0.0004675200
       -0.0001334569       -0.0003054740        0.0000677125
        0.0002535297       -0.0000918398       -0.0005856937
        0.0000199641        0.0001457613        0.0001633329
       -0.0000892131        0.0000055288       -0.0000708145
       -0.0000669556       -0.0000454279        0.0000898863
        0.1377178257        0.4253127169        0.2859673606
       -0.1303607680       -0.2619590782       -0.1344021009
       -0.0213090788       -0.0598805143       -0.0142371666
        0.0085820617        0.0030047501       -0.0026430273
       -0.0303860890       -0.0026901028        0.0038480451
        0.0141616507        0.0012528655       -0.0003457068
       -0.0024704718       -0.0054440777        0.0009051998
        0.0009328715        0.0019863209       -0.0002289274
        0.0004822860        0.0021732084       -0.0006867716
        0.0025082314       -0.0038369458       -0.0037358187
        0.0183648707       -0.0870562072       -0.0788665850
       -0.0022657483        0.0078709555       -0.0007277852
       -0.0003109933        0.0003751762        0.0007350451
        0.0007145494       -0.0001344578       -0.0000525659
       -0.0013953554       -0.0000708995        0.0002913318
        0.0045953872       -0.0204164400       -0.0552597460
        0.0004615727        0.0001091504       -0.0008500489
        0.0001170731       -0.0004679098        0.0001368713
       -0.0001050106        0.0000363935        0.0002971414
       -0.0000481240       -0.0000755518       -0.0000814739
       -0.0000355774       -0.0000630647        0.0000796982
        0.0000488365       -0.0000262877       -0.0001429689
       -0.0555786762        0.2859673606        0.3781673090
       -0.0543213245       -0.1532049105       -0.0828532908
        0.0108326508       -0.0171982120       -0.0607807601
