   22   66
        0.5120802074        0.1242516956       -0.0654918251
       -0.1080815450       -0.1300654462       -0.0526064553
       -0.1834608522       -0.0022400115        0.0039125940
       -0.0366010509        0.0011485571       -0.0027380586
       -0.0187247875       -0.0120074523        0.0050870215
       -0.0178322823        0.0012218352        0.0055496892
       -0.0001950970       -0.0032245236        0.0000779090
        0.0002593261        0.0002869131        0.0000030848
        0.0012253209        0.0003112652        0.0002491565
       -0.0014345455        0.0028332772        0.0039202250
       -0.1240437277        0.0189551261        0.0841177292
       -0.0306413561        0.0058270279        0.0291156433
        0.0004031021        0.0011550153        0.0010894797
       -0.0032316854       -0.0002855051        0.0012527707
       -0.0045110319       -0.0011321685        0.0015043981
        0.0152760547       -0.0072164513       -0.0143567858
       -0.0002725711        0.0001724553        0.0000565474
       -0.0001231685       -0.0000611209        0.0001404867
        0.0001872592        0.0001487838       -0.0006492781
       -0.0000016871        0.0001589622        0.0000608583
       -0.0001236717       -0.0001139753       -0.0002313962
       -0.0001522105       -0.0001242594       -0.0000637943
        0.1242516956        0.4179166795        0.2755645086
       -0.1231287514       -0.2509633418       -0.1259438913
       -0.0165863088       -0.0605164084       -0.0128474133
        0.0069190601        0.0037469484       -0.0020932324
       -0.0296225241       -0.0036099953        0.0040907317
        0.0156401711        0.0015018632        0.0002095042
       -0.0027937153       -0.0056343432        0.0007589162
        0.0005286142        0.0014387267       -0.0005221497
        0.0001721654        0.0022898638       -0.0009437763
        0.0022221240       -0.0039801076       -0.0046067354
        0.0237602090       -0.0853106290       -0.0795082317
       -0.0023223164        0.0060809912        0.0000379585
       -0.0009351046        0.0000889117        0.0011886822
        0.0000335390       -0.0001411944       -0.0002425710
       -0.0014066155       -0.0000953289        0.0001311753
        0.0030861583       -0.0217967297       -0.0536617652
        0.0002810815       -0.0006544224       -0.0012143407
        0.0001581767       -0.0001311559       -0.0008305874
       -0.0001964183        0.0000637755        0.0001776188
       -0.0000387713       -0.0002656499        0.0000395950
       -0.0000806252        0.0000325334        0.0003349373
        0.0000581560       -0.0000609869       -0.0001189334
       -0.0654918251        0.2755645086        0.3830281591
       -0.0520902215       -0.1431991910       -0.0773831327
        0.0092162091       -0.0148384493       -0.0625896708
       -0.0167303578       -0.0027867590        0.0053326405
        0.0030542953        0.0016414604        0.0019887431
        0.0189964155        0.0049699810       -0.0055930470
        0.0006048991        0.0001305267        0.0005630008
        0.0006633925        0.0006058080       -0.0012562224
        0.0000632806       -0.0011635535        0.0010261656
        0.0067301745       -0.0082555481       -0.0036488225
        0.0751074884       -0.0550182697       -0.1776753915
        0.0173999367       -0.0031572016       -0.0076699790
        0.0001378903        0.0005996695        0.0009870139
        0.0000596121       -0.0004529356        0.0005172696
        0.0012287922        0.0005404299       -0.0000695029
       -0.0031690522       -0.0541922344       -0.0580615885
        0.0030131233       -0.0014422698       -0.0021344835
        0.0006220817        0.0001258901        0.0017450865
        0.0004953896        0.0002516954        0.0015022511
       -0.0001945792        0.0000226109       -0.0001170452
        0.0002079838       -0.0000951715       -0.0002438836
        0.0000750711        0.0001490030       -0.0002475608
       -0.1080815450       -0.1231287514       -0.0520902215
        0.1215888966        0.1355832486        0.0574005957
       -0.0133040533       -0.0194020571       -0.0099056102
       -0.0025331474       -0.0003324048       -0.0000145348
       -0.0044710550       -0.0000701653        0.0000746513
       -0.0009974374       -0.0014250732       -0.0010706458
       -0.0002765722       -0.0012313005        0.0002142833
       -0.0000404966        0.0002025478        0.0001925045
        0.0001160615        0.0004226478       -0.0001953113
        0.0003421474       -0.0001573346       -0.0002793107
        0.0067935773        0.0061944265       -0.0032389540
       -0.0000767130        0.0011449259        0.0016941089
       -0.0016863928        0.0000838179        0.0000880427
       -0.0000981201       -0.0000865411       -0.0000404545
       -0.0003522604       -0.0000628827       -0.0000404929
        0.0015667338        0.0021611208        0.0061643145
        0.0012340963        0.0009502609        0.0002367822
        0.0002975598       -0.0007217903        0.0007040077
       -0.0000621322       -0.0000896015        0.0003396359
        0.0000622857       -0.0000533813       -0.0000811105
