   22   66
        0.5726486599        0.1516680907       -0.0686201314
       -0.1349144177       -0.1454021199       -0.0540742227
       -0.1867970305       -0.0015947282        0.0014302247
       -0.0345784892       -0.0022849870        0.0039329784
       -0.0213057542       -0.0077644828        0.0039511643
       -0.0209876233        0.0008161265        0.0035763541
        0.0001154300       -0.0033193895       -0.0006670120
        0.0002485813       -0.0001176922       -0.0002101656
        0.0020308507        0.0008951078        0.0004689429
        0.0008359415        0.0017418819        0.0040754356
       -0.1770206610       -0.0029506674        0.0806840483
       -0.0227361976        0.0087802929        0.0339618845
        0.0013447951        0.0012838710        0.0007929731
       -0.0035601384        0.0000211533        0.0019595703
       -0.0045882377       -0.0010175609        0.0017920475
        0.0301308674       -0.0008509188       -0.0129970996
       -0.0007745403       -0.0001770857        0.0011729946
       -0.0001935489        0.0005756479       -0.0003489202
        0.0000807565       -0.0003559837       -0.0011830244
        0.0001354689        0.0001967841        0.0002126954
       -0.0000594896       -0.0000681804       -0.0000742856
       -0.0000552230       -0.0000751598        0.0001635476
        0.1516680907        0.4787266478        0.3156368010
       -0.1391239103       -0.2834536061       -0.1459606867
       -0.0207747557       -0.0818272692       -0.0220620218
        0.0084314070        0.0038215622       -0.0053732246
       -0.0385941377       -0.0007025680        0.0050125169
        0.0222176992        0.0033870005        0.0053924591
       -0.0020917429       -0.0068037798        0.0006443703
        0.0010765536        0.0025673020       -0.0009314390
        0.0007447722        0.0032263281       -0.0006496406
        0.0019873698       -0.0054241540       -0.0061790870
        0.0152184514       -0.1089320171       -0.0887371412
       -0.0036118447        0.0119129210        0.0032289346
        0.0006559457        0.0000424716       -0.0001483775
        0.0002961255       -0.0001378211        0.0002888172
       -0.0030423473       -0.0005713252        0.0002684900
        0.0051193079       -0.0152576458       -0.0575317925
       -0.0005156072       -0.0003321892       -0.0024918639
        0.0003814282       -0.0005984756       -0.0003660159
       -0.0001394429        0.0005100414        0.0001178824
       -0.0000029910       -0.0001548870       -0.0001380560
        0.0000415520        0.0000659469        0.0002827236
        0.0000580764       -0.0000644835       -0.0003036485
       -0.0686201314        0.3156368010        0.4329417231
       -0.0549667902       -0.1662883066       -0.0949129963
        0.0068636658       -0.0262763496       -0.0884896243
       -0.0175101041       -0.0047960571        0.0087229065
        0.0028578184        0.0000913384        0.0013780155
        0.0276391089        0.0086735478       -0.0020556842
        0.0008830690        0.0007141713        0.0018854246
        0.0011440192        0.0018347719       -0.0006266380
        0.0000353589       -0.0018358346        0.0009653404
        0.0058324095       -0.0089750658       -0.0038564802
        0.0848538080       -0.0513285668       -0.1874356772
        0.0124614863       -0.0050221388       -0.0039969287
        0.0021851235        0.0009639200        0.0001497798
       -0.0004585755       -0.0003994619        0.0005856185
        0.0002022064        0.0007052663        0.0002407635
       -0.0075197255       -0.0614287130       -0.0639438088
        0.0027806586       -0.0014997246       -0.0061869892
       -0.0001718103       -0.0012840390        0.0029336584
        0.0012972557        0.0009112469        0.0029460601
       -0.0002570994       -0.0001440378       -0.0002801554
        0.0003633513       -0.0002271289       -0.0002704531
        0.0001048969       -0.0000256393       -0.0006938550
       -0.1349144177       -0.1391239103       -0.0549667902
        0.1405455863        0.1479249158        0.0606059006
       -0.0096110718       -0.0230589705       -0.0131896890
       -0.0024183551       -0.0004128129        0.0000631804
       -0.0044679289        0.0017446270        0.0001943303
       -0.0016727314       -0.0015973301       -0.0012732932
       -0.0000627136       -0.0014444988        0.0001834718
       -0.0000788581        0.0000479198       -0.0000065390
        0.0002448934        0.0000535152        0.0001318942
        0.0003090692        0.0000247578        0.0001625520
        0.0125220441        0.0139311766       -0.0007740582
       -0.0006401179        0.0012561879        0.0013352744
       -0.0020364956       -0.0000479344        0.0003248815
       -0.0000973343       -0.0001812443       -0.0004162295
       -0.0001015825       -0.0003230987       -0.0003004012
        0.0006348713        0.0008219888        0.0073164190
        0.0013025668        0.0007524991        0.0000117242
        0.0003371845       -0.0007851634        0.0004420631
        0.0002001038        0.0006495377        0.0005169188
       -0.0000423922       -0.0001066612       -0.0000598126
       -0.0000071368       -0.0000372134       -0.0000091189
        0.0000548165       -0.0000882876       -0.0002926785
       -0.1454021199       -0.2834536061       -0.1662883066
        0.1479249158        0.2902456485        0.1590355464
        0.0032619402       -0.0007707035        0.0043849204
        0.0020515988       -0.0001594389        0.0002524588
       -0.0017414047        0.0001360857        0.0000877082
       -0.0000721833        0.0017257910       -0.0014403141
       -0.0001375982       -0.0004169915       -0.0000122113
        0.0002628327        0.0001220568       -0.0000761334
       -0.0000077338        0.0000547436        0.0000409463
        0.0006458829       -0.0005398064        0.0003608168
       -0.0075997837       -0.0107118144        0.0042809569
       -0.0006551917       -0.0002255704        0.0003585429
        0.0007919331        0.0010936352        0.0005234073
       -0.0002034374        0.0001355655        0.0006144681
       -0.0000085322        0.0000683475        0.0003427440
        0.0008071983        0.0036072314       -0.0039373643
        0.0003953623       -0.0004221757       -0.0006950016
       -0.0007635897       -0.0005096707        0.0019122960
        0.0004075932        0.0000150058        0.0005925061
       -0.0000629619        0.0000329464       -0.0001130799
        0.0001150188       -0.0000470329       -0.0001845147
       -0.0000097396        0.0000197531       -0.0000403922
       -0.0540742227       -0.1459606867       -0.0949129963
        0.0606059006        0.1590355464        0.1146696579
        0.0008277046        0.0077579658        0.0009214063
       -0.0010793962       -0.0003223255       -0.0002245601
        0.0036504406        0.0005866565       -0.0009662780
        0.0053239845        0.0008336260        0.0053259350
        0.0006102944        0.0010536301       -0.0001615170
       -0.0001902812       -0.0003213580       -0.0000120645
       -0.0000715613        0.0001325918       -0.0000949304
       -0.0018242300        0.0007932503       -0.0014498864
       -0.0185820872       -0.0232319297       -0.0164341068
       -0.0006901803        0.0026930956       -0.0008605483
        0.0007015711       -0.0002054347        0.0005686901
        0.0004969345       -0.0001960884       -0.0004461111
       -0.0006119363        0.0001819689        0.0005683300
        0.0063830843       -0.0033021971       -0.0018582297
       -0.0028662066       -0.0011846195       -0.0012799725
        0.0017436133        0.0021177644       -0.0027622502
       -0.0003568619       -0.0006223513       -0.0011366348
        0.0001395547        0.0000000506       -0.0000242960
       -0.0000783487        0.0000922123        0.0001748069
       -0.0000577702        0.0000686320        0.0003955559
       -0.1867970305       -0.0207747557        0.0068636658
       -0.0096110718        0.0032619402        0.0008277046
        0.4895966174       -0.0388009699        0.0626848855
       -0.1023519145        0.0468397911       -0.0956332150
       -0.0765431800       -0.0225269661        0.0003989112
       -0.0767657779        0.0103128193        0.0187338079
       -0.0085829120       -0.0301694651        0.0040307811
        0.0015546955        0.0066074149       -0.0016460385
        0.0029464268        0.0170663826       -0.0023242049
       -0.0196087188        0.0332515595        0.0225435357
       -0.0222538761        0.0133551628        0.0193648734
        0.0035794968       -0.0008389609        0.0000327316
        0.0001933016       -0.0001292050       -0.0002864887
       -0.0004648257        0.0000634672        0.0000957640
        0.0003294429       -0.0002589374       -0.0000716936
       -0.0006768631       -0.0076565382       -0.0094539394
        0.0074085446       -0.0117793355       -0.0190985618
        0.0006404240        0.0004974508       -0.0028537012
       -0.0024652289        0.0024102542       -0.0028629204
       -0.0000968588       -0.0002858212       -0.0008327349
       -0.0001754292        0.0001484776        0.0001511327
        0.0001447378       -0.0005937649       -0.0006642949
       -0.0015947282       -0.0818272692       -0.0262763496
       -0.0230589705       -0.0007707035        0.0077579658
       -0.0388009699        0.4510141899       -0.0249864313
        0.0459277249       -0.0828100760        0.0769204275
       -0.0086461835       -0.1641461399        0.0078627082
       -0.0003777961       -0.0970358106       -0.0284143005
        0.0004633694        0.0009014301       -0.0006713606
       -0.0069327718       -0.0218464103        0.0044264489
       -0.0045588612       -0.0160674096        0.0019507927
        0.0264902750       -0.0040754234       -0.0186261701
        0.0122159178        0.0071313179        0.0086270303
       -0.0008008806        0.0036558513       -0.0045012878
        0.0000415927       -0.0000315647        0.0002557936
        0.0013439823       -0.0000485813       -0.0004469124
       -0.0001678121       -0.0000448099        0.0003805400
       -0.0015771151       -0.0044490193        0.0007326149
       -0.0030063867        0.0057542681       -0.0057958409
       -0.0003875728        0.0001433875       -0.0002966358
        0.0032710375        0.0046770127        0.0005873338
       -0.0005876270        0.0006862727        0.0010270012
        0.0004140151        0.0001304160        0.0002238780
        0.0003297607       -0.0009409284       -0.0007372458
        0.0014302247       -0.0220620218       -0.0884896243
       -0.0131896890        0.0043849204        0.0009214063
        0.0626848855       -0.0249864313        0.5534297852
       -0.0971266767        0.0798480351       -0.2149933471
        0.0032747002        0.0179881706       -0.0802406841
        0.0020665530       -0.0347980396       -0.1460581464
        0.0001725938        0.0039403589       -0.0023312517
       -0.0091408284       -0.0270971936        0.0058809269
        0.0082620493        0.0254660651       -0.0038183233
        0.0071049286       -0.0066223316        0.0077403919
        0.0336162445        0.0042159192       -0.0040783025
        0.0015910915       -0.0058430345       -0.0015869838
       -0.0001299831        0.0003244815        0.0004737280
       -0.0001573431        0.0001940801        0.0002562290
        0.0014235840        0.0005395338       -0.0005358590
       -0.0013723318        0.0047540462        0.0023500279
        0.0043440247       -0.0186365568       -0.0278959610
       -0.0005746374        0.0000079972       -0.0012974207
       -0.0045474317       -0.0015240942        0.0008392260
        0.0004716103       -0.0004521407       -0.0010197544
       -0.0000704235        0.0000215412        0.0000685932
       -0.0001331454        0.0003366950        0.0003853437
       -0.0345784892        0.0084314070       -0.0175101041
       -0.0024183551        0.0020515988       -0.0010793962
       -0.1023519145        0.0459277249       -0.0971266767
        0.1252224372       -0.0464246307        0.1046144173
        0.0058032816       -0.0036104299        0.0067882090
        0.0041563864       -0.0034389195        0.0056186575
