   22   66
        0.1575912909        0.1711120815        0.1617964094
       -0.0557165547       -0.1127750627       -0.0933726864
       -0.0633497837       -0.0034261988       -0.0273921454
        0.0002712507       -0.0005460359        0.0022050724
       -0.0067534118        0.0104126693       -0.0356012694
        0.0094439460       -0.0088838256        0.0097240693
       -0.0061057121       -0.0024470774       -0.0020293761
        0.0036446510        0.0003732982        0.0004478307
        0.0022035828        0.0000228887        0.0007442019
       -0.0042346021        0.0009439905        0.0024766499
       -0.0617019922       -0.0313429891       -0.0135353914
        0.0116521121        0.0052863775       -0.0050794621
       -0.0004929782        0.0006955969       -0.0024784941
       -0.0001414133        0.0003448947        0.0000436740
       -0.0001874298        0.0002475401        0.0008117010
        0.0138084757       -0.0296021741        0.0009267115
        0.0012282756        0.0004686078        0.0005600227
       -0.0011308691       -0.0005098127        0.0006787061
        0.0001016287       -0.0002204257       -0.0010608054
        0.0000276156       -0.0002613661       -0.0001159251
        0.0000838986        0.0001369170        0.0000990510
       -0.0002419807       -0.0000298940        0.0001514556
        0.1711120815        0.7548149887        0.0281347767
       -0.1151406012       -0.2779784664       -0.1651345019
       -0.0096218547       -0.1101496315        0.0016573429
        0.0103294823       -0.0077500533        0.0412441232
       -0.0003201277        0.0034513384       -0.0057800975
       -0.0022285180       -0.0049359770       -0.0082678169
       -0.0010461446        0.0016317457        0.0001364617
       -0.0009422473        0.0001259885       -0.0000394978
        0.0025963671        0.0004771331        0.0009850045
       -0.0012089722        0.0050661385        0.0010714686
       -0.0238507284       -0.2683779666        0.1012343820
       -0.0002427034       -0.0048047531        0.0115587308
        0.0006234088       -0.0002240060       -0.0005049524
       -0.0007104981        0.0004374535       -0.0005153799
        0.0004889222        0.0000137447        0.0013413243
       -0.0260483862       -0.0958320244       -0.0140171371
       -0.0006373453        0.0057668844       -0.0005535159
       -0.0031548580       -0.0030901718        0.0075743354
        0.0003224201        0.0013572561       -0.0002914923
        0.0002724527       -0.0002343315       -0.0003459264
       -0.0001714750        0.0001391797        0.0003356864
       -0.0004206746        0.0000955302        0.0001766817
        0.1617964094        0.0281347767        0.6170685115
       -0.0911605032       -0.1598397182       -0.1928656857
