   22   66
        0.7623081689        0.2073387071        0.0728843741
       -0.3999324382       -0.1322411822        0.0400331725
       -0.1115370180       -0.0368358162        0.0252421302
       -0.0053701822       -0.0110530471        0.0184004167
        0.0082086168        0.0200419522       -0.0308203729
       -0.0056508907       -0.0169588974        0.0145283674
       -0.0059892700        0.0019532202       -0.0039712569
        0.0020906791       -0.0009903192        0.0003126279
        0.0013668187        0.0000885968        0.0001446961
       -0.0031187408        0.0034885973        0.0045078139
       -0.1745213257       -0.0132966497       -0.0961315132
        0.0115547490       -0.0009482330        0.0034241026
       -0.0002422196       -0.0015998054        0.0025673196
       -0.0003113538       -0.0001908555        0.0017353466
        0.0010132943        0.0011863431       -0.0015785633
       -0.0809671091       -0.0201725290       -0.0490678579
        0.0014118017        0.0012090530       -0.0013973762
       -0.0002636182       -0.0005049411       -0.0006078293
       -0.0015026111       -0.0001137243       -0.0003100235
       -0.0001800083       -0.0000227679        0.0001056048
        0.0005424057       -0.0002406839       -0.0000267552
        0.0010902513       -0.0001370177        0.0000255759
        0.2073387071        0.2281628467       -0.1852253166
       -0.1389676995       -0.0564414888        0.0424234865
       -0.0250207935       -0.1047215384        0.0527570870
       -0.0080967998       -0.0153389601        0.0295544901
       -0.0026712455       -0.0106105954        0.0138511528
       -0.0045694904        0.0068702490        0.0005786399
        0.0021707524        0.0008701770        0.0012335769
       -0.0018469667        0.0011855131       -0.0007323585
       -0.0001514814        0.0015431972       -0.0011563089
        0.0030576232        0.0028736673       -0.0017006467
       -0.0147630673       -0.0728151654        0.0441923285
        0.0076625971        0.0068027029        0.0191713407
        0.0002225075       -0.0006142468        0.0014552317
       -0.0001202791       -0.0015479675        0.0031263609
        0.0011409964        0.0003988654       -0.0008576236
       -0.0243122192        0.0160042561       -0.0157192099
       -0.0017797122        0.0025407175        0.0017837476
       -0.0002751285        0.0008344580        0.0001267263
        0.0001924115       -0.0057400054       -0.0010381185
       -0.0012952803        0.0008845856       -0.0021818677
        0.0007427617       -0.0001774138       -0.0020319932
        0.0013418067       -0.0009638544        0.0003892748
        0.0728843741       -0.1852253166        0.5369728672
        0.0327650504        0.0402001086       -0.0647950956
        0.0079292241        0.0600196232       -0.1544648209
        0.0044020526        0.0083293742       -0.0012012601
        0.0048247780        0.0193439884       -0.0280479527
       -0.0001905567        0.0206838978       -0.0220811329
       -0.0043435922        0.0015766724       -0.0017019259
        0.0010126730       -0.0008427941        0.0020768225
        0.0025627827       -0.0011485693        0.0021159341
        0.0093159325       -0.0016112069       -0.0053283719
       -0.0677201177        0.0463475735       -0.2370884307
       -0.0192519273        0.0094945233       -0.0320683656
        0.0007461776        0.0011839253       -0.0037412234
       -0.0001283459        0.0013640523       -0.0023441291
       -0.0004042648       -0.0001386487       -0.0002143848
       -0.0446668863       -0.0120799860        0.0125314678
        0.0001013514       -0.0027921026        0.0029648327
       -0.0000366401        0.0005111100        0.0003734585
       -0.0015228548       -0.0030187933       -0.0026772204
       -0.0008562867       -0.0000736118       -0.0004397797
        0.0008060768       -0.0008415764       -0.0012707311
        0.0017709995       -0.0012822434        0.0004294421
       -0.3999324382       -0.1389676995        0.0327650504
        0.4132063372        0.1414013795       -0.0373183756
       -0.0002938898        0.0026221597       -0.0008418948
        0.0003235539        0.0015564893       -0.0004128243
        0.0018742227        0.0009444670       -0.0005584691
       -0.0002793099       -0.0017853182       -0.0004543601
       -0.0003779644        0.0001641763       -0.0001589482
        0.0002936824        0.0002402545        0.0002642210
        0.0004376877       -0.0006561799        0.0000886270
        0.0000482781        0.0004878554        0.0002850822
       -0.0177783980       -0.0062894344        0.0107356274
        0.0001332532        0.0000663995        0.0008972388
        0.0002136141       -0.0000078513        0.0002069563
        0.0003183200        0.0000165078        0.0004116028
        0.0013830443        0.0002880928       -0.0000531657
        0.0003250881       -0.0003492185       -0.0058674725
       -0.0000891266        0.0005134830        0.0001459143
       -0.0000240093        0.0000539255        0.0000069761
       -0.0002767092       -0.0007157407       -0.0000013623
       -0.0004145615        0.0004366483       -0.0001674538
        0.0002860352       -0.0000162703       -0.0003332001
        0.0006232898       -0.0000041259        0.0003602303
       -0.1322411822       -0.0564414888        0.0402001086
        0.1414013795        0.0682401030       -0.0370206704
       -0.0135430695       -0.0098463280       -0.0025736567
       -0.0014024259       -0.0024254910        0.0039150453
       -0.0005306379        0.0021542675       -0.0006743237
        0.0005032225        0.0012193915       -0.0009990516
        0.0000469837       -0.0000528496       -0.0006918114
        0.0005962829       -0.0011418836        0.0001710460
        0.0002116813        0.0000364386        0.0002042402
       -0.0000311341       -0.0002894834        0.0003169839
        0.0029396007       -0.0051230447       -0.0058460436
        0.0016968765       -0.0021801659       -0.0003448480
        0.0000968572       -0.0000570115        0.0005423524
       -0.0005394526        0.0000600039       -0.0005889641
       -0.0002848860        0.0002361006        0.0012402559
        0.0005550098        0.0066203247        0.0031795153
       -0.0001024084       -0.0008938242       -0.0001061203
       -0.0000710706       -0.0001618125        0.0000051050
        0.0010879425        0.0006139873       -0.0003942375
        0.0005142428       -0.0003814009        0.0001648572
       -0.0003354310        0.0000666023        0.0003287086
       -0.0005683813       -0.0002524353       -0.0010284911
        0.0400331725        0.0424234865       -0.0647950956
       -0.0373183756       -0.0370206704        0.0653482312
        0.0237970312        0.0046416137       -0.0008732666
        0.0001533690        0.0005277610       -0.0023723997
        0.0013217195        0.0004083826        0.0021358083
       -0.0000678564        0.0052540996       -0.0005852581
       -0.0002619542       -0.0005051266       -0.0000817882
       -0.0002216351        0.0002143785        0.0000302522
       -0.0008498538       -0.0006566723       -0.0009230434
        0.0015458757       -0.0012430529       -0.0016688586
       -0.0231330146       -0.0149749194        0.0117146552
       -0.0002646895       -0.0012371135       -0.0011090508
        0.0005722742       -0.0000265356        0.0004572331
        0.0001294672        0.0002811896       -0.0001327898
        0.0003923708        0.0014497303       -0.0015710169
       -0.0063478825        0.0021860941       -0.0047164393
        0.0001896017       -0.0013533431       -0.0004298972
       -0.0000233975       -0.0001576844       -0.0000334580
        0.0014293079        0.0004814305       -0.0000672859
        0.0000055253       -0.0002350248        0.0001291407
       -0.0004032551        0.0000776937        0.0002000038
       -0.0006778006       -0.0005357173       -0.0006556763
       -0.1115370180       -0.0250207935        0.0079292241
       -0.0002938898       -0.0135430695        0.0237970312
        0.4971314049        0.0805582055        0.0192665879
       -0.1140002623       -0.1087191021       -0.0417013043
       -0.1543959290        0.0204184666       -0.0274671091
       -0.0990195176        0.0272705182        0.0113721659
        0.0079566809       -0.0022444671        0.0041707461
       -0.0190616685        0.0062305566       -0.0111607292
       -0.0175088672        0.0059402495       -0.0088179712
       -0.0134647879       -0.0043882101        0.0342231412
        0.0155821939        0.0146551625       -0.0108310288
       -0.0013485076       -0.0026290477       -0.0036236783
        0.0000817329        0.0001071543        0.0000623744
        0.0002770670        0.0006869311       -0.0009456337
        0.0004033915        0.0001425786        0.0000613545
       -0.0030131588        0.0009598340       -0.0006921314
        0.0083242451        0.0010425770        0.0024114197
        0.0037380491       -0.0032565940        0.0021247549
        0.0007732210        0.0018906568       -0.0004390757
        0.0000781586       -0.0001615076        0.0001669610
       -0.0002044976        0.0001768330       -0.0000013905
       -0.0004980406       -0.0001169319        0.0000942912
       -0.0368358162       -0.1047215384        0.0600196232
        0.0026221597       -0.0098463280        0.0046416137
        0.0805582055        0.5332100130        0.0159346075
       -0.1115046723       -0.2176494759       -0.0669366499
        0.0228922731       -0.0827522739        0.0082102991
        0.0230180102       -0.1066633410       -0.0274744281
        0.0148207675       -0.0063034972        0.0070506340
        0.0169855243       -0.0061456921        0.0111894571
       -0.0231240521        0.0088696624       -0.0119664341
       -0.0173973788        0.0105605677        0.0142395462
        0.0150897953        0.0002992756        0.0107036012
       -0.0029474197        0.0063893398       -0.0000059117
        0.0000061629        0.0004178308       -0.0013082236
        0.0001645496       -0.0006256323        0.0008053197
       -0.0000838389       -0.0000714201       -0.0002190429
       -0.0057134426       -0.0056858584       -0.0013149583
        0.0223705277       -0.0142939770       -0.0227554321
       -0.0004879980       -0.0052765993       -0.0001758146
        0.0010139517        0.0011780345       -0.0015095550
        0.0001526909       -0.0008081308        0.0005311061
       -0.0005912547        0.0002745024        0.0006187915
       -0.0010087448       -0.0003554617       -0.0002781490
        0.0252421302        0.0527570870       -0.1544648209
       -0.0008418948       -0.0025736567       -0.0008732666
        0.0192665879        0.0159346075        0.4708817197
       -0.0403579735       -0.0652568814       -0.0706173075
       -0.0474662920        0.0127268596       -0.0938388342
        0.0211340401       -0.0386157686       -0.1015434054
       -0.0216808589        0.0063527662       -0.0120701958
        0.0180802703       -0.0052899144        0.0088168450
       -0.0074990067        0.0039972561       -0.0057676653
        0.0295495474        0.0024638949       -0.0154591244
       -0.0090001061        0.0154048875       -0.0366530613
       -0.0038493418        0.0015353394        0.0026116525
        0.0003593156        0.0001821153       -0.0010548810
        0.0002155379       -0.0000218697        0.0002280096
        0.0004815652       -0.0000205453        0.0003932866
        0.0109692591        0.0008960625        0.0028546265
        0.0035632874       -0.0010724086        0.0030456687
        0.0020969236        0.0010976337        0.0034106092
       -0.0011882799       -0.0019886229        0.0009516006
       -0.0002095573        0.0011964742       -0.0006757038
        0.0005833074        0.0003035871       -0.0007391576
        0.0005515390       -0.0000089035        0.0005634053
       -0.0053701822       -0.0080967998        0.0044020526
        0.0003235539       -0.0014024259        0.0001533690
       -0.1140002623       -0.1115046723       -0.0403579735
        0.1315807393        0.1187493293        0.0366522829
       -0.0157396647       -0.0201899136       -0.0094932032
        0.0085590148        0.0185441195        0.0096646220
        0.0010627076        0.0000341960        0.0001086689
        0.0009056672       -0.0004705221        0.0009748155
       -0.0034706455        0.0020725351       -0.0022357436
       -0.0003808438        0.0004793884       -0.0009211121
        0.0004376338        0.0009026127       -0.0012907221
       -0.0003254784       -0.0004617260        0.0000806805
        0.0000483585        0.0000306006       -0.0000054276
        0.0000288707       -0.0000047949       -0.0000355255
        0.0000378776       -0.0000293145        0.0001285076
       -0.0005242001        0.0002050642       -0.0002262862
       -0.0028470266        0.0003815262        0.0023461332
       -0.0002956002        0.0011234058       -0.0001091030
       -0.0002080449       -0.0004915310        0.0002668205
       -0.0000176343        0.0000822926       -0.0000144015
        0.0000528857        0.0000117271       -0.0000617198
        0.0001422738        0.0000349025       -0.0000267347
       -0.0110530471       -0.0153389601        0.0083293742
        0.0015564893       -0.0024254910        0.0005277610
       -0.1087191021       -0.2176494759       -0.0652568814
        0.1187493293        0.2392209992        0.0640267538
        0.0069117472        0.0113504134        0.0034281415
       -0.0091376310       -0.0214701403       -0.0104595781
       -0.0005691344        0.0004996547       -0.0003658179
       -0.0006590060        0.0007185762       -0.0001765188
        0.0030911467        0.0002648447        0.0016744437
       -0.0001857521        0.0033760705        0.0037370779
       -0.0062564058       -0.0005504089       -0.0018105722
        0.0000864902        0.0001925511        0.0001261740
        0.0000452748       -0.0000190424       -0.0000166528
        0.0000723990       -0.0000187853        0.0000770434
        0.0001735156        0.0000783071       -0.0000817223
        0.0027936007        0.0018111067       -0.0016433866
        0.0026807647        0.0003808645       -0.0021350115
        0.0003620031       -0.0009155748        0.0000007553
        0.0000998594        0.0004227041       -0.0000413468
       -0.0000258427        0.0000307784        0.0000019857
       -0.0000223234       -0.0000183817       -0.0000134688
        0.0000056245        0.0000593896        0.0000714466
        0.0184004167        0.0295544901       -0.0012012601
       -0.0004128243        0.0039150453       -0.0023723997
       -0.0417013043       -0.0669366499       -0.0706173075
        0.0366522829        0.0640267538        0.0860756104
       -0.0086460350       -0.0113827627       -0.0052288279
       -0.0098910165       -0.0215602016       -0.0071877968
        0.0001406110       -0.0003695280        0.0000430320
        0.0007107880        0.0004370201        0.0007899936
       -0.0024633950        0.0013950512       -0.0004986473
        0.0009366071        0.0017881591        0.0008265555
        0.0056207408        0.0024244314        0.0021905225
        0.0001056403       -0.0008577125       -0.0002692446
       -0.0000025759        0.0000173094        0.0000878525
       -0.0001032988        0.0000389363       -0.0002518295
       -0.0001363043       -0.0000884139        0.0002163606
       -0.0025398279       -0.0020451763       -0.0002976191
        0.0030537378        0.0001678556       -0.0024078174
        0.0002266465       -0.0010088971        0.0003034503
        0.0000433524        0.0005970643       -0.0002545249
        0.0000954771       -0.0001297025        0.0000259090
       -0.0000209224       -0.0000260540        0.0000730616
       -0.0000687963        0.0000429820       -0.0000450730
        0.0082086168       -0.0026712455        0.0048247780
        0.0018742227       -0.0005306379        0.0013217195
       -0.1543959290        0.0228922731       -0.0474662920
       -0.0157396647        0.0069117472       -0.0086460350
        0.4919748690        0.0283000095       -0.0503858191
       -0.0248062315        0.0093328025       -0.0016245900
       -0.0629335648       -0.0340404008        0.0520624232
       -0.1222284401        0.0800157828        0.0886457368
       -0.1221791722       -0.1090758447       -0.0390451608
        0.0018233616        0.0012588864       -0.0002441334
       -0.0040450697       -0.0023875620        0.0005200071
        0.0004051274        0.0004144445        0.0006296247
       -0.0000190002       -0.0000587440        0.0001039024
       -0.0000462184       -0.0001293901        0.0002703047
       -0.0000454738       -0.0000135551       -0.0000421776
        0.0014213583        0.0010869849       -0.0009748597
        0.0003462521       -0.0012774969       -0.0005441227
        0.0004099905       -0.0001772794        0.0005481017
        0.0006286515        0.0003111876       -0.0001193758
       -0.0002268233        0.0000569581       -0.0000592613
       -0.0001348253        0.0000161328       -0.0000530093
       -0.0002920368       -0.0002350531        0.0002782386
        0.0200419522       -0.0106105954        0.0193439884
        0.0009444670        0.0021542675        0.0004083826
        0.0204184666       -0.0827522739        0.0127268596
       -0.0201899136        0.0113504134       -0.0113827627
        0.0283000095        0.5533881722        0.0103044875
        0.0210579727       -0.0064361843        0.0056974060
       -0.0365716327       -0.1239094932        0.1170657858
        0.0795253325       -0.1334863045       -0.0932633148
       -0.1080703697       -0.2068791149       -0.0582418040
       -0.0014044758       -0.0005446817        0.0011192529
       -0.0048526145       -0.0035044900       -0.0005725616
        0.0003110941        0.0006476896        0.0006901195
        0.0000382288       -0.0000394565        0.0000084070
       -0.0000917284       -0.0001428285        0.0002315137
        0.0000173314        0.0000655007       -0.0000449992
        0.0013343289        0.0017864082       -0.0018547395
       -0.0005122778       -0.0007461084       -0.0016871471
       -0.0006608372       -0.0001061449       -0.0007867518
        0.0008647852        0.0000810714       -0.0000065363
       -0.0002337208        0.0000707595        0.0000323901
       -0.0000908737       -0.0000233822        0.0000315386
       -0.0001755248       -0.0003632240        0.0001804853
       -0.0308203729        0.0138511528       -0.0280479527
       -0.0005584691       -0.0006743237        0.0021358083
       -0.0274671091        0.0082102991       -0.0938388342
       -0.0094932032        0.0034281415       -0.0052288279
       -0.0503858191        0.0103044875        0.5549344682
        0.0122799007       -0.0028372265        0.0183244097
