   22   66
        0.4999724884       -0.2867924877        0.1835380986
       -0.2737266417        0.1675672392       -0.1098649299
       -0.1077486880        0.0185506035       -0.0637285870
       -0.0070389792       -0.0051827733       -0.0190569213
       -0.0101931867       -0.0111866678       -0.0266084307
        0.0125708790        0.0076838782        0.0162094393
       -0.0024598125       -0.0042550734        0.0002414167
        0.0028591529        0.0019902209       -0.0009002284
        0.0014669740        0.0009304895        0.0007778127
        0.0000371934        0.0033709925        0.0058724482
       -0.1287153875        0.0925872544        0.0061371564
       -0.0066500979        0.0260629729        0.0134706607
       -0.0037629023        0.0037807089       -0.0023938492
       -0.0008179692        0.0019699620       -0.0004476199
        0.0007144449       -0.0006607202        0.0007443516
        0.0281803531       -0.0169755871       -0.0111292884
       -0.0043140417        0.0015616631        0.0058398057
       -0.0005455967        0.0004157543        0.0003710692
        0.0005158002       -0.0017489508        0.0005595819
       -0.0004692866        0.0002454734        0.0004704166
       -0.0000244345        0.0001776039        0.0002912292
        0.0001497385       -0.0000925563       -0.0003936318
       -0.2867924877        0.4767333695        0.1781850984
        0.1722902240       -0.1422491256        0.0435541433
        0.0218801364       -0.0983413441       -0.0286949365
        0.0081752322        0.0117694116        0.0198795323
       -0.0126909361       -0.0070440330       -0.0302755643
       -0.0061988809       -0.0088080745       -0.0188272756
       -0.0060360054       -0.0036097150       -0.0011763447
        0.0009911361        0.0012492784        0.0010930599
        0.0020703927        0.0030990003       -0.0004608571
        0.0011453759        0.0008544381       -0.0063270400
        0.0901816089       -0.2055358286       -0.0857633291
        0.0159340910       -0.0155523720       -0.0120220422
        0.0029503943       -0.0010352221        0.0011529269
       -0.0006016925       -0.0000123473       -0.0004815395
        0.0024333446       -0.0009102196       -0.0001693423
       -0.0093657538       -0.0094537128       -0.0540475985
        0.0042205893       -0.0012465455       -0.0043451054
       -0.0000815425       -0.0009096559       -0.0002968338
       -0.0008938473        0.0013141394       -0.0003659543
        0.0004437938       -0.0001385708       -0.0005984463
        0.0001335261       -0.0001977330       -0.0002696433
       -0.0001886991        0.0000248627        0.0002570921
        0.1835380986        0.1781850984        0.5530347727
       -0.1127038668        0.0446555742       -0.0952424271
       -0.0530147541       -0.0410110522       -0.1772479213
       -0.0089973743       -0.0053852291       -0.0224398953
       -0.0111664929       -0.0106049349       -0.0095236689
        0.0000081284       -0.0152080633       -0.0319659233
       -0.0019160178       -0.0015413193        0.0007564275
       -0.0003958789        0.0008864855        0.0008958129
        0.0009140880       -0.0003391610        0.0007361229
       -0.0027568054        0.0017946308       -0.0048681912
        0.0072292001       -0.0905493609       -0.1551032105
       -0.0021343624        0.0042624679        0.0131845300
       -0.0032366896        0.0026525295       -0.0009980137
        0.0012350501       -0.0011722113        0.0000740601
        0.0008213096       -0.0001643156        0.0004332956
       -0.0015433264       -0.0639201910       -0.0701221288
        0.0044704098       -0.0029661905       -0.0017385934
       -0.0001516153       -0.0001986441        0.0009802005
       -0.0005272687        0.0008744102       -0.0000304073
        0.0002915527       -0.0001150006       -0.0004289577
        0.0000743558       -0.0001670176       -0.0003268232
       -0.0000377406        0.0000314951       -0.0000590603
       -0.2737266417        0.1722902240       -0.1127038668
        0.2865298011       -0.1776662347        0.1169847448
       -0.0059392899        0.0009586189       -0.0046441754
        0.0004582366       -0.0007761492        0.0020576513
       -0.0006185724        0.0005020822       -0.0007287922
        0.0027585382       -0.0007371159        0.0027047270
        0.0001473274       -0.0003426339        0.0003357049
       -0.0002127287       -0.0000487033       -0.0000139425
       -0.0001363590       -0.0005712345       -0.0002166416
       -0.0033854493       -0.0000227088        0.0000935799
       -0.0063285484        0.0077808010       -0.0005249434
        0.0029303358        0.0017027261       -0.0004950654
        0.0002765811        0.0002544102       -0.0001948340
       -0.0004946812        0.0004536645        0.0000336169
        0.0003807915       -0.0004449865        0.0000640531
       -0.0018229371       -0.0043819637       -0.0004691463
       -0.0009491219        0.0008820724       -0.0020408283
        0.0003026722       -0.0000172731       -0.0004202753
       -0.0002109404        0.0002167020        0.0000841773
        0.0000762151       -0.0000272406       -0.0000189141
       -0.0000096052       -0.0000384755       -0.0000583964
       -0.0000256236        0.0000334183        0.0001715664
        0.1675672392       -0.1422491256        0.0446555742
       -0.1776662347        0.1504637118       -0.0517538634
       -0.0104126418        0.0073521101        0.0002615476
        0.0004295872       -0.0004480671       -0.0006609730
       -0.0004438092        0.0001026742       -0.0017721780
       -0.0027281210        0.0027149977       -0.0041999494
       -0.0002812447       -0.0009573421        0.0000807780
        0.0002173230        0.0000978034       -0.0000079180
       -0.0002241062       -0.0006203315        0.0000175709
        0.0008555686       -0.0027043359        0.0023308772
        0.0240116951       -0.0143838842        0.0103831912
        0.0016383551        0.0000719233       -0.0051337551
        0.0011101323       -0.0004073396        0.0003487628
       -0.0006128401        0.0004848465        0.0001119388
        0.0002215327       -0.0001216355        0.0001058200
       -0.0051438742        0.0014469778        0.0033163092
        0.0013278912       -0.0009352929        0.0018122763
       -0.0001204936        0.0001296322        0.0003955701
        0.0002048474       -0.0000136442       -0.0001703515
       -0.0000067573       -0.0000296336        0.0000387037
       -0.0000120295        0.0000100877        0.0000105983
        0.0000679804       -0.0000041325       -0.0001705296
       -0.1098649299        0.0435541433       -0.0952424271
        0.1169847448       -0.0517538634        0.0982338286
       -0.0201155240        0.0181916712       -0.0099932392
       -0.0021939084       -0.0019187776       -0.0054103259
        0.0004335750       -0.0001147588       -0.0006684243
       -0.0068877612        0.0036871566       -0.0062646675
       -0.0001979943       -0.0001800105        0.0000756977
        0.0001920096        0.0000515416        0.0000449425
       -0.0001640086       -0.0001366947        0.0003819178
        0.0029334545        0.0001030022        0.0045418612
        0.0195390752       -0.0094124263        0.0150478779
       -0.0007537040       -0.0039474761       -0.0013590983
        0.0005564338       -0.0007796531        0.0004705975
        0.0002312713       -0.0003721760       -0.0001053754
       -0.0003462073        0.0003741752       -0.0002047430
       -0.0013816735        0.0037148057       -0.0024756248
        0.0008934341       -0.0007460927        0.0023853857
       -0.0002004415        0.0000228389        0.0005883006
        0.0002973024       -0.0003323723       -0.0000045508
       -0.0000958956        0.0000138911        0.0000958939
       -0.0000012654        0.0000635458        0.0001057334
        0.0001420128       -0.0000824701       -0.0002435605
       -0.1077486880        0.0218801364       -0.0530147541
       -0.0059392899       -0.0104126418       -0.0201155240
        0.4554046559       -0.0729869444        0.0473478180
       -0.0765473347        0.0757209807       -0.0401097130
       -0.1175340766       -0.0345077316        0.0181205223
       -0.1089488476        0.0137826049        0.0303709561
       -0.0064187101       -0.0042274934        0.0019132313
       -0.0203370097       -0.0217741775        0.0013254111
        0.0073178458        0.0064011441       -0.0006367458
       -0.0352488602        0.0275643877        0.0002280018
        0.0068387603       -0.0164932528        0.0070026165
       -0.0007822318        0.0024692838        0.0008216432
       -0.0005365124       -0.0000243911       -0.0000453001
       -0.0002103228        0.0003282881        0.0003305278
       -0.0007151941        0.0004008044        0.0003458486
        0.0036852200        0.0079091609        0.0039588284
        0.0048641841        0.0019778595        0.0063037153
       -0.0006857143       -0.0013563430       -0.0003061248
        0.0036364154        0.0035600578       -0.0029205473
        0.0007689773       -0.0007260202       -0.0006799838
       -0.0007529613        0.0002929371        0.0002570354
       -0.0001103051        0.0002213503       -0.0004974631
        0.0185506035       -0.0983413441       -0.0410110522
        0.0009586189        0.0073521101        0.0181916712
       -0.0729869444        0.5255911230       -0.0542044430
        0.0722510711       -0.2154081448        0.0906098320
       -0.0437504146       -0.1188732488        0.0184915469
        0.0207565678       -0.0911319876       -0.0139090109
       -0.0014124633       -0.0036221939        0.0018167485
        0.0072891160        0.0068520969       -0.0013726401
       -0.0221862698       -0.0202326801        0.0025584952
        0.0314892888       -0.0008523102       -0.0038939890
       -0.0171796759       -0.0024047482       -0.0137966772
        0.0005608803       -0.0009850810       -0.0003314297
       -0.0003726756        0.0003475331        0.0002588751
        0.0002952793       -0.0009164242       -0.0003583241
        0.0001617822        0.0000948791       -0.0001016233
        0.0034405687       -0.0002654424       -0.0050693751
