   22   66
        0.7366552684       -0.0208527510       -0.0384964941
       -0.4083143725        0.0812995158        0.0717876673
       -0.1115357667        0.0400102262        0.0095766914
        0.0056186227       -0.0330674077       -0.0063222986
        0.0010160639        0.0086058435        0.0007322663
       -0.0085615475        0.0319305019        0.0027800510
        0.0013310854        0.0004994496       -0.0003915428
        0.0006819144       -0.0003178947       -0.0009043137
        0.0009446431       -0.0002689896        0.0021744479
       -0.0025898602       -0.0023212396        0.0029600352
       -0.2173348222       -0.0674320504       -0.0301295128
       -0.0234797389       -0.0260730002       -0.0093207266
       -0.0017088918       -0.0008785824       -0.0004449253
       -0.0060663464        0.0010689225        0.0007901987
        0.0000666889        0.0001105889       -0.0008752755
        0.0326966870       -0.0103781814       -0.0023828194
        0.0014677558       -0.0002525989        0.0003525417
       -0.0004991761       -0.0008590029       -0.0005423931
       -0.0012225665        0.0004103137       -0.0014081704
        0.0008117290        0.0004882902        0.0003238974
        0.0005786433       -0.0005296187       -0.0006620454
       -0.0005560134       -0.0011923348        0.0004027210
       -0.0208527510        0.6069123597        0.1441683764
        0.0822474865       -0.0832917528       -0.0294920874
        0.0088884615       -0.1860492819       -0.0123559628
        0.0057054017       -0.0288886320       -0.0063845495
        0.0065465607       -0.0369630858       -0.0016828141
        0.0051555278       -0.0146073482       -0.0034552934
        0.0020224641       -0.0028615974        0.0056919119
       -0.0008991378        0.0019958844       -0.0020001221
        0.0003737855        0.0019549267       -0.0003922643
        0.0021137201        0.0012270832       -0.0025412952
       -0.0651869027       -0.1787223807       -0.0465292530
       -0.0027477691        0.0082668202        0.0001109362
        0.0007765630        0.0001333491       -0.0008434006
        0.0029930797        0.0007680941       -0.0001979222
       -0.0028915824        0.0002676701       -0.0002502031
       -0.0249946863       -0.0923668352       -0.0422766696
        0.0005470466        0.0026249626       -0.0018705920
        0.0000546018        0.0002691328       -0.0000562782
        0.0006156210       -0.0011819649        0.0004459886
       -0.0000875996       -0.0001030560        0.0002149604
       -0.0001330107        0.0001184544       -0.0001359356
       -0.0002468806        0.0004971976       -0.0001675305
       -0.0384964941        0.1441683764        0.1217322011
        0.0589971840       -0.0284112396       -0.0247837193
        0.0026397352       -0.0291123089       -0.0533094631
        0.0030597748       -0.0136345161       -0.0020385604
       -0.0020099499        0.0240638193        0.0091214116
       -0.0031710678       -0.0187021888       -0.0023857451
       -0.0014323074        0.0030980513       -0.0034450335
       -0.0006576882       -0.0009766187        0.0025520133
        0.0005817644       -0.0012497731        0.0016909968
        0.0058914980       -0.0008373828        0.0000743730
       -0.0197749793       -0.0340796137       -0.0620748940
        0.0005655325        0.0019792680        0.0118249979
       -0.0024749462       -0.0004456221       -0.0003670519
        0.0019860874       -0.0002663682        0.0002434509
       -0.0001912369       -0.0000819988       -0.0003512666
       -0.0059974752       -0.0450592159        0.0047546671
        0.0002338550        0.0013435481        0.0009914265
       -0.0000702124        0.0001028462        0.0006529884
       -0.0001398569        0.0017192476       -0.0041379696
        0.0001991372        0.0007299408        0.0002258508
        0.0005263607       -0.0016813422       -0.0012334026
       -0.0002647152       -0.0026669087        0.0002627286
       -0.4083143725        0.0822474865        0.0589971840
        0.4290705236       -0.0828241685       -0.0620991493
        0.0022488489       -0.0030497981       -0.0001113337
        0.0017564668       -0.0003831363       -0.0002099687
       -0.0001551582       -0.0001689731       -0.0002636763
        0.0003378714       -0.0007008505        0.0000977046
        0.0000526925       -0.0002013193        0.0000401615
        0.0000042141        0.0002099329       -0.0000900636
       -0.0000326021       -0.0000101357        0.0000551878
        0.0008169155        0.0000246647       -0.0002291943
       -0.0303026649        0.0053958366        0.0055418441
        0.0005500154       -0.0036658814       -0.0022577089
       -0.0001731157       -0.0000942313        0.0001847626
       -0.0011256357       -0.0000730334        0.0003752234
        0.0003715603        0.0000841573       -0.0000264003
        0.0048055033        0.0031506547        0.0001919681
       -0.0001121406        0.0001589133       -0.0003121774
       -0.0000619196       -0.0000322095       -0.0000249743
        0.0003248888        0.0002912073       -0.0000215056
       -0.0000576551       -0.0000643059        0.0000908458
        0.0000089302       -0.0001143962       -0.0000612343
       -0.0000131664       -0.0001804141        0.0001325047
        0.0812995158       -0.0832917528       -0.0284112396
       -0.0828241685        0.0852171035        0.0291726430
        0.0283546968       -0.0070490258       -0.0060003271
       -0.0001134308        0.0006309918       -0.0003111902
        0.0004695912       -0.0011645123       -0.0014456484
       -0.0017049114       -0.0039715641        0.0024896744
       -0.0001597620       -0.0002610751        0.0005151264
       -0.0002016112       -0.0001953386        0.0006819259
       -0.0000556764        0.0000712431       -0.0000086884
        0.0020667868       -0.0000254688       -0.0008094243
       -0.0294010110        0.0145950950        0.0067753038
       -0.0016154394       -0.0034552628       -0.0035079336
        0.0003483537       -0.0000728830        0.0000800101
       -0.0014870590        0.0002624315        0.0001128570
        0.0002164136       -0.0000424528       -0.0001015173
        0.0046413246       -0.0017045391        0.0013031067
        0.0002213593        0.0002605947       -0.0003992132
        0.0000269299        0.0000323533       -0.0000518159
        0.0002498450        0.0003089743        0.0000042475
       -0.0001057908       -0.0000566805       -0.0000870085
       -0.0000628926       -0.0000469788       -0.0000117669
       -0.0001630634       -0.0000412527        0.0000108785
        0.0717876673       -0.0294920874       -0.0247837193
       -0.0620991493        0.0291726430        0.0273857817
        0.0032239197        0.0006224548       -0.0055916432
        0.0001186777        0.0000476137        0.0007778352
       -0.0009322260        0.0010298098        0.0004207547
        0.0001164683       -0.0042111614        0.0019692033
        0.0002942564        0.0002691182       -0.0004043228
        0.0002780359        0.0004092188       -0.0003770824
        0.0000367753       -0.0000890953       -0.0000155678
        0.0009882448        0.0005480941       -0.0009721863
       -0.0141970699        0.0014879640        0.0041296220
       -0.0009092240       -0.0025648877        0.0042784239
       -0.0011909172       -0.0002017833       -0.0001513998
        0.0000816959       -0.0003450134        0.0002808465
        0.0005988854       -0.0000943966       -0.0000623976
        0.0012214254        0.0029880087       -0.0051367212
       -0.0001481043        0.0005621002       -0.0015359715
       -0.0000624322        0.0002114773       -0.0001084571
        0.0012354230       -0.0008410472        0.0005634027
       -0.0004013884       -0.0004749252       -0.0003671660
       -0.0003417963        0.0002740674        0.0001765868
        0.0003008325        0.0006918274       -0.0004758216
       -0.1115357667        0.0088884615        0.0026397352
        0.0022488489        0.0283546968        0.0032239197
        0.5478899288        0.0190766484        0.0504949936
       -0.2377251618       -0.0703769212       -0.0731500624
       -0.0872300029        0.0092752968       -0.0231689818
       -0.1021554878       -0.0118375914        0.0305316385
       -0.0023280244        0.0000607020       -0.0015629914
        0.0055691833       -0.0131974303        0.0210808391
       -0.0051842372        0.0165103509       -0.0246878773
       -0.0331947386        0.0263732899        0.0194763909
        0.0165598813       -0.0103683981        0.0009554915
       -0.0008177703       -0.0002658207        0.0001532052
       -0.0001077066        0.0000103654       -0.0000671914
        0.0000800109        0.0004476295       -0.0000525478
       -0.0016054692       -0.0002198529       -0.0004165869
       -0.0011523994       -0.0053938512       -0.0025341900
        0.0098626982       -0.0009978900        0.0006185557
        0.0012877928        0.0031420447       -0.0032565402
        0.0000217809       -0.0001125891        0.0012138976
       -0.0003038568        0.0005811945       -0.0014290964
       -0.0003645029       -0.0001815976        0.0003263372
        0.0001849996        0.0002312621       -0.0003889388
        0.0400102262       -0.1860492819       -0.0291123089
       -0.0030497981       -0.0070490258        0.0006224548
        0.0190766484        0.4464923887        0.0038739897
       -0.0840366447       -0.0728533250       -0.0303037061
        0.0092392588       -0.0917991264        0.0402916691
       -0.0023364925       -0.0790986690       -0.0044575902
        0.0066143739       -0.0140657515        0.0246980979
        0.0001447285       -0.0002653369       -0.0040205972
       -0.0015803335        0.0048807777       -0.0107056300
        0.0270704279        0.0069985772       -0.0061630116
       -0.0058188632       -0.0250221424       -0.0040150469
        0.0004881348        0.0017281335       -0.0001608726
        0.0002385290        0.0000996134        0.0003114356
        0.0009255078       -0.0000633537        0.0001648431
       -0.0000185721        0.0002926485        0.0001572489
       -0.0011887084        0.0063916559        0.0010378088
       -0.0074822579        0.0070970975        0.0120433381
        0.0022197800        0.0025155949        0.0043094361
       -0.0006867339        0.0015339167        0.0009381893
       -0.0003350827        0.0003489997       -0.0000547301
        0.0002919013       -0.0008471845       -0.0003454121
        0.0002139700       -0.0012662067        0.0008903943
        0.0095766914       -0.0123559628       -0.0533094631
       -0.0001113337       -0.0060003271       -0.0055916432
        0.0504949936        0.0038739897        0.4750441044
       -0.0786275360       -0.0306542548       -0.0786053609
       -0.0220832137        0.0363593562       -0.1556377411
        0.0272106028        0.0023184984       -0.1310855286
        0.0020976733       -0.0055435230        0.0079950367
       -0.0075852605        0.0130639581       -0.0207691131
       -0.0039041140        0.0079416117       -0.0131668615
        0.0024369111        0.0011519916        0.0136717338
        0.0006228284       -0.0101844070       -0.0136621971
        0.0002145751       -0.0002887999       -0.0011203002
        0.0004516269        0.0006191352        0.0000866242
       -0.0000030935        0.0000170022       -0.0000313910
       -0.0005318590        0.0000016886        0.0006301041
       -0.0028154363       -0.0014069248        0.0065850669
        0.0225262903       -0.0017563441       -0.0254974603
       -0.0006898411        0.0028220477       -0.0033159476
        0.0008178241       -0.0004336555       -0.0021769444
       -0.0001746243        0.0001831434       -0.0005228799
        0.0001865121        0.0001499266        0.0003295461
       -0.0001102171        0.0001218495        0.0001506157
        0.0056186227        0.0057054017        0.0030597748
