   22   66
        0.6794895210       -0.0267633753        0.1356098703
       -0.0849161472        0.0668336288       -0.0451255648
       -0.1599330318       -0.0432650256        0.0068081813
       -0.0042935653       -0.0052390202        0.0060738249
       -0.0102523151       -0.0143273901       -0.0012934354
       -0.0403787459       -0.0160842514        0.0048491952
        0.0004666145       -0.0031864533       -0.0007221091
        0.0007618179       -0.0003941747       -0.0008440019
        0.0003876883        0.0015817092        0.0005487716
       -0.0092423082       -0.0058596132        0.0045958035
       -0.3026380313       -0.0034543569       -0.0646842217
       -0.0338579496       -0.0035321327       -0.0091439263
       -0.0024876369       -0.0011462342        0.0006708606
       -0.0018271312       -0.0013581412       -0.0003008196
       -0.0006517714       -0.0000404664       -0.0000467849
       -0.0220536875        0.0527092487       -0.0371924741
       -0.0084679795        0.0045077043       -0.0004577994
        0.0003125156        0.0003100677       -0.0006581935
        0.0009015238       -0.0014595628        0.0011716542
       -0.0007113319        0.0000177823       -0.0000414831
       -0.0008453982        0.0002407391        0.0002132063
        0.0002373500       -0.0000906823       -0.0000305544
       -0.0267633753        0.6467341659       -0.2914807631
        0.0670517764       -0.3368603185        0.1641857588
       -0.0548979832       -0.1433096003        0.0420244685
       -0.0166346094       -0.0143564445        0.0081996511
       -0.0300100736       -0.0260628591        0.0043771434
        0.0052830953        0.0121249183       -0.0018542004
       -0.0004991142       -0.0049696924       -0.0044877939
        0.0000797599        0.0024476999        0.0021379513
        0.0006751921        0.0025547493        0.0007796971
        0.0057839990        0.0004703230        0.0013604388
        0.0153805755       -0.1224485410        0.0443277839
       -0.0255861143        0.0076622539       -0.0049454954
       -0.0026930935       -0.0016460146       -0.0001095237
       -0.0035996682       -0.0020829043        0.0004968692
        0.0008744069        0.0016966134       -0.0009334543
        0.0585121801       -0.0208046376        0.0383196846
        0.0058097779       -0.0012118517       -0.0012164721
        0.0008143322       -0.0003603994       -0.0000937923
        0.0001790222        0.0005902625       -0.0012089657
        0.0002461139        0.0000186273        0.0000195565
        0.0003922184       -0.0001877190        0.0000234561
       -0.0003984179        0.0000013690        0.0000780017
        0.1356098703       -0.2914807631        0.2452553303
       -0.0483405375        0.1718526768       -0.0889009006
        0.0114797825        0.0400703193       -0.0827504383
        0.0264196115        0.0203880480       -0.0028049070
       -0.0161403677       -0.0104066910        0.0090157335
        0.0002004292       -0.0033077902       -0.0008801822
       -0.0007482910       -0.0045198371       -0.0009875868
        0.0000237752        0.0008557763        0.0000736725
        0.0001355917        0.0015356108        0.0029305306
       -0.0031288820        0.0010978738        0.0021332872
       -0.0653069572        0.0357405506       -0.0857688458
        0.0033111340        0.0010751833        0.0113271939
        0.0020796103        0.0013236158       -0.0001124345
        0.0005249013       -0.0001611966       -0.0002604696
       -0.0005407375       -0.0014234681        0.0002010714
       -0.0427623033        0.0378366928       -0.0102370744
       -0.0019515499        0.0001314997        0.0015403096
       -0.0008851800       -0.0004282750       -0.0005320901
        0.0001383014       -0.0002691609        0.0007913924
       -0.0000102794        0.0000023340       -0.0000232338
       -0.0003300615        0.0001311037        0.0000658811
        0.0002221396       -0.0000441027       -0.0000762396
       -0.0849161472        0.0670517764       -0.0483405375
        0.0821148653       -0.0674172698        0.0454594323
        0.0108746579       -0.0204585973        0.0137699129
       -0.0039606716       -0.0026362474        0.0011139447
       -0.0021634151       -0.0005865912        0.0006554277
       -0.0034921576       -0.0114508683        0.0070974777
       -0.0001420219       -0.0006428963       -0.0006544393
       -0.0000300677        0.0003860903        0.0001797642
        0.0002477735       -0.0000492968       -0.0003273681
        0.0029105661        0.0057847235       -0.0030954490
        0.0024016175        0.0284825482       -0.0105735004
       -0.0003444308        0.0005971205       -0.0000161733
        0.0004817165       -0.0002107647        0.0003742829
        0.0003795145       -0.0002989975        0.0000768476
       -0.0013438465       -0.0016491720        0.0004685320
       -0.0057351176       -0.0004241911       -0.0031663078
        0.0024233591        0.0031631547       -0.0026039256
        0.0008513057       -0.0000242069       -0.0002360720
       -0.0004446726        0.0003810534       -0.0002095770
        0.0001591303        0.0000378374        0.0000204177
        0.0001514960       -0.0000729962       -0.0000687867
       -0.0004234539        0.0000377911        0.0000760971
        0.0668336288       -0.3368603185        0.1718526768
       -0.0674172698        0.3519691752       -0.1737598092
        0.0007403011       -0.0139212962        0.0059120673
       -0.0001638577       -0.0003925943       -0.0011435700
       -0.0009779837       -0.0011834811        0.0012337384
        0.0006498392        0.0008874391        0.0003310948
        0.0000826686       -0.0001660289       -0.0006097180
        0.0000374081       -0.0001113929       -0.0000458541
       -0.0002264911       -0.0001793032       -0.0003814368
        0.0023076049       -0.0023256929       -0.0009326613
        0.0035427741       -0.0019314452       -0.0026396681
       -0.0008810642       -0.0004042327       -0.0013231510
       -0.0005258420       -0.0000855760       -0.0000295991
        0.0000965121       -0.0001211766        0.0000844067
       -0.0011532815        0.0003901454        0.0000814265
       -0.0022045006        0.0055008968        0.0002479625
       -0.0006790049       -0.0011990232        0.0010171617
       -0.0002714921        0.0001242640        0.0001126470
        0.0001730484       -0.0000664599        0.0000483306
       -0.0000262606       -0.0000194790       -0.0000085786
       -0.0000173440        0.0000489613       -0.0000191399
        0.0000806068        0.0000466189       -0.0000283263
       -0.0451255648        0.1641857588       -0.0889009006
        0.0454594323       -0.1737598092        0.1039413660
        0.0018211502        0.0031382892       -0.0056792801
        0.0019731348        0.0024973662       -0.0012448053
       -0.0011268658       -0.0013215205        0.0005016481
       -0.0001925718        0.0007292406        0.0013644245
       -0.0003364422       -0.0004470307       -0.0006652150
        0.0000178598        0.0001839920        0.0001437076
       -0.0003212404       -0.0002933461       -0.0003558156
       -0.0009341200       -0.0008818345       -0.0030478212
       -0.0005825722        0.0051523354       -0.0116771216
        0.0012103262       -0.0015108188       -0.0023569603
       -0.0005756221        0.0000896500       -0.0000591386
        0.0008215756        0.0000765048        0.0002626532
        0.0001613593        0.0001532327        0.0009625997
       -0.0021733867        0.0011800181        0.0069197885
        0.0000030350        0.0007695242       -0.0003570377
        0.0000673532        0.0000558586        0.0000777596
       -0.0001065213        0.0000164828        0.0001656628
       -0.0000283708       -0.0000315041       -0.0000001638
       -0.0000144573        0.0000299513       -0.0000351642
       -0.0000174910       -0.0000123408        0.0000398139
       -0.1599330318       -0.0548979832        0.0114797825
        0.0108746579        0.0007403011        0.0018211502
        0.4859337919        0.0079475469        0.0053983461
       -0.0534315888        0.0090879207       -0.0265260326
       -0.0742657999        0.0001552318       -0.0021782034
       -0.1408928411        0.0326423761       -0.0024719307
       -0.0006528985       -0.0168633071       -0.0157674082
        0.0012592101        0.0234070541        0.0201893748
       -0.0008862340       -0.0022046812       -0.0004844008
        0.0027307434        0.0112552560       -0.0045140826
       -0.0417589955       -0.0163851100        0.0026944267
       -0.0003429660        0.0020151396       -0.0036957703
       -0.0008689077       -0.0005595485        0.0004107180
       -0.0000977315       -0.0003361561       -0.0000485629
        0.0005976882       -0.0002030800        0.0002614093
        0.0041526472       -0.0075582034        0.0066805122
       -0.0319367743        0.0121982247        0.0041915429
       -0.0010522175        0.0006341551        0.0008710061
        0.0008646397       -0.0014306330        0.0019193633
       -0.0000322316       -0.0000310091        0.0000857556
       -0.0004644391        0.0002861194       -0.0002220463
        0.0002032787        0.0001003862       -0.0000949500
       -0.0432650256       -0.1433096003        0.0400703193
       -0.0204585973       -0.0139212962        0.0031382892
        0.0079475469        0.4732186555       -0.0773920549
        0.0111463664       -0.0715603865        0.0797481529
        0.0112701226       -0.1203074656       -0.0441217216
        0.0234910434       -0.0905589685       -0.0010759058
        0.0016004415       -0.0127151603       -0.0100305133
       -0.0014963265       -0.0172046724       -0.0135265453
       -0.0001925907        0.0063984281        0.0052842834
        0.0256139175       -0.0323533254        0.0195786303
       -0.0126618985        0.0134591239       -0.0114842648
        0.0024974491        0.0021691461        0.0037766426
        0.0008941660        0.0006428812       -0.0001821230
       -0.0002925114       -0.0002752379       -0.0002179049
        0.0001138514        0.0002223328       -0.0001127426
        0.0054025693       -0.0072264069        0.0022570228
       -0.0072245598        0.0127214808        0.0000954197
       -0.0008250207       -0.0002771803       -0.0006065051
       -0.0025672059        0.0010950626        0.0047633546
        0.0003111356       -0.0004519046        0.0001248216
       -0.0011102783        0.0004538450       -0.0003526014
       -0.0001945950       -0.0002193508        0.0002659465
        0.0068081813        0.0420244685       -0.0827504383
        0.0137699129        0.0059120673       -0.0056792801
        0.0053983461       -0.0773920549        0.5508509755
       -0.0330907147        0.0779513014       -0.2680312579
        0.0073435784       -0.0454163487       -0.1186596461
       -0.0026013961        0.0021866260       -0.0858617621
        0.0005616134        0.0091336861        0.0054039287
       -0.0001884860       -0.0008559027       -0.0003069750
        0.0006889373       -0.0276388857       -0.0213468229
       -0.0140948212        0.0264223367        0.0102125376
       -0.0006675693       -0.0141836766        0.0074770587
       -0.0034161248        0.0038154849        0.0052864210
        0.0008674847        0.0001435596       -0.0001684558
       -0.0013183936       -0.0009202272       -0.0000773672
       -0.0000352865       -0.0002342739       -0.0000119977
        0.0003028672        0.0015192848       -0.0055362439
        0.0149360439       -0.0057977009        0.0064431320
        0.0016828474       -0.0001893853        0.0002432998
        0.0021969066        0.0038430484        0.0028118606
        0.0011292023       -0.0010652662        0.0000580696
