   22   66
        0.5373751410        0.0904926699       -0.1823743654
       -0.0837646390        0.0554862451        0.0832756765
       -0.1797493695       -0.0094517208        0.0384167171
       -0.0101338397        0.0037756478        0.0068900441
       -0.0203613026       -0.0052869872        0.0132068709
       -0.0441592969       -0.0032845905        0.0098588046
       -0.0001551426       -0.0032270328        0.0015688804
        0.0016835696        0.0007989420       -0.0001843285
        0.0011116920        0.0020231514       -0.0013901808
        0.0016195072        0.0035496946       -0.0008284021
       -0.1959648660       -0.0939772199        0.0383617801
       -0.0259783294       -0.0307405562        0.0061685940
        0.0005803633       -0.0010800003       -0.0010017281
       -0.0037856926       -0.0011900957        0.0010446389
       -0.0034077734       -0.0008161831        0.0017074095
        0.0278019482       -0.0108343455       -0.0083677253
       -0.0022510681        0.0025000124       -0.0050279311
        0.0007582985        0.0018509258       -0.0011728027
       -0.0004798604       -0.0018254302       -0.0011432777
       -0.0009929818        0.0005950296        0.0003083871
        0.0002385340        0.0003135162        0.0005376127
        0.0000151082        0.0003283273        0.0001453257
        0.0904926699        0.6545781425        0.2862119319
        0.0541731846       -0.2482594942       -0.2088816848
        0.0029917881       -0.0994659297       -0.0294024766
        0.0270476445        0.0001217509       -0.0086757333
       -0.0399955350       -0.0000974562        0.0165081349
        0.0030424557       -0.0041333358        0.0015832271
       -0.0028291597       -0.0071523209        0.0036720778
        0.0005825627        0.0027402814       -0.0020181158
        0.0000589057        0.0025204819       -0.0004275844
       -0.0016111411        0.0032469328       -0.0011736619
       -0.1065262272       -0.2191518355       -0.0207172502
       -0.0081847780        0.0015755949        0.0013004274
       -0.0016196544        0.0005571369        0.0012284116
        0.0007687253        0.0006413494       -0.0007911732
        0.0014135412        0.0001273950        0.0000747415
       -0.0156837763       -0.0906767641       -0.0374272967
       -0.0018423568        0.0028482712       -0.0009124289
       -0.0005554027        0.0002825410        0.0002660261
       -0.0006579655       -0.0012591525       -0.0012465034
       -0.0013407871        0.0003226500        0.0002540505
        0.0002517166        0.0003867255        0.0003121612
        0.0000235893        0.0002470355        0.0002627191
       -0.1823743654        0.2862119319        0.3432806382
        0.0804396053       -0.1942338623       -0.1907675422
        0.0448726684       -0.0229139880       -0.0865559545
        0.0283218040       -0.0006098792       -0.0100248292
        0.0182470154        0.0022229479       -0.0070055487
       -0.0155025916       -0.0040018167        0.0110245498
        0.0009747203        0.0030189848        0.0002738070
        0.0002100333       -0.0022377807        0.0016103229
       -0.0011694329       -0.0002911916        0.0010701310
       -0.0011179243        0.0009753208        0.0009332156
        0.0232236027       -0.0444474103       -0.0796018581
        0.0138406596        0.0116642070        0.0084769568
       -0.0004552412        0.0003007739        0.0000939550
        0.0006578989        0.0003971417       -0.0004216157
        0.0031859360        0.0001296992       -0.0014998176
       -0.0129831310       -0.0376713473        0.0109919555
       -0.0009517831        0.0013182062       -0.0013735979
        0.0009139900        0.0005977943       -0.0004647172
       -0.0002045978       -0.0009337198       -0.0005220483
        0.0000652854        0.0000843500       -0.0000942251
       -0.0002293750        0.0002921082        0.0002939278
        0.0000352231        0.0001275301        0.0002822950
       -0.0837646390        0.0541731846        0.0804396053
        0.0840153164       -0.0627209945       -0.0854078118
       -0.0059203800        0.0243023142        0.0188292117
       -0.0054773982       -0.0008139326        0.0012682325
        0.0012654443        0.0007239040       -0.0004272327
       -0.0000551193        0.0044369131        0.0046837811
       -0.0000172622       -0.0001579778       -0.0003338282
        0.0000550280       -0.0001041666       -0.0001943539
       -0.0001435500       -0.0011865195        0.0001582644
        0.0018309767       -0.0023997683       -0.0021741089
        0.0113633785       -0.0069907707       -0.0178873324
       -0.0006913118       -0.0011963210       -0.0011042314
       -0.0019839650       -0.0000628183        0.0008924665
        0.0000812178        0.0005893993        0.0000868091
       -0.0000412448        0.0002865946        0.0002828528
       -0.0005350157       -0.0077683232        0.0017558931
        0.0002376573       -0.0011692075       -0.0007161906
       -0.0001201168        0.0001672573       -0.0001189834
        0.0000755316        0.0001653860        0.0001642945
       -0.0002624695       -0.0000877322        0.0000037237
        0.0001382237       -0.0001143324       -0.0000819513
       -0.0000503022       -0.0000720888       -0.0001191102
        0.0554862451       -0.2482594942       -0.1942338623
       -0.0627209945        0.2634798936        0.2051191448
       -0.0006545656        0.0038883441        0.0041161523
       -0.0015862035        0.0003914640        0.0009460172
        0.0005091788        0.0019426044        0.0007292559
        0.0006199091       -0.0001499527       -0.0000937494
        0.0001813565       -0.0003748743       -0.0002507586
        0.0000048834       -0.0000670767        0.0002122331
       -0.0003186111       -0.0003856566       -0.0005625990
       -0.0004540074       -0.0006566871        0.0002049102
        0.0142883201       -0.0198074910       -0.0169753512
        0.0013955160       -0.0001938779        0.0020953381
       -0.0006878711        0.0009163915        0.0001211232
       -0.0003194351       -0.0001103828       -0.0000542112
        0.0005807697        0.0006117770       -0.0000781393
       -0.0064111081       -0.0011701064       -0.0010712677
       -0.0001054532       -0.0000272527       -0.0001572629
        0.0000860007        0.0000739714       -0.0000338972
        0.0000610176       -0.0001831552       -0.0000339863
        0.0000343676        0.0000505303       -0.0000223562
       -0.0000155293        0.0000221964        0.0000331611
        0.0000262140        0.0000088347       -0.0000098946
        0.0832756765       -0.2088816848       -0.1907675422
       -0.0854078118        0.2051191448        0.1969426599
       -0.0008322746       -0.0064188426       -0.0073355088
        0.0020916751        0.0003207078       -0.0004824184
       -0.0004212647       -0.0004254124        0.0001563176
       -0.0006543251        0.0018436062        0.0022498205
       -0.0005032937        0.0001666465        0.0002986034
        0.0001614570        0.0001745985       -0.0006075784
        0.0004485620        0.0004743351        0.0002712166
        0.0007570601       -0.0003940553       -0.0012153224
       -0.0019555839        0.0067260235       -0.0039605588
       -0.0001251055        0.0009458052       -0.0017382634
        0.0003147739        0.0004516315        0.0009564178
        0.0005251455        0.0005947503       -0.0000232889
       -0.0002218491       -0.0001264551        0.0000226716
        0.0025225225       -0.0000362979        0.0056374192
        0.0000827805       -0.0004861152       -0.0004607380
       -0.0000903059        0.0000669146       -0.0000284862
        0.0000460059        0.0000392567        0.0001550717
       -0.0000019579       -0.0000521541       -0.0000244256
       -0.0000056869       -0.0000502235       -0.0000268340
       -0.0000062000       -0.0000521800       -0.0000192334
       -0.1797493695        0.0029917881        0.0448726684
       -0.0059203800       -0.0006545656       -0.0008322746
        0.4369679342       -0.0044567672       -0.0062787642
       -0.0511769130        0.0138876244        0.0087687651
       -0.0747189794       -0.0183625204        0.0071153115
       -0.1007669680        0.0140652821       -0.0365354410
       -0.0047102412       -0.0262351396        0.0112785239
        0.0031855373        0.0211680626       -0.0091094311
       -0.0007845080        0.0021549873       -0.0002090487
        0.0062246920       -0.0050216647       -0.0120187013
       -0.0291194443       -0.0182320820        0.0015159484
        0.0042442281       -0.0019740653        0.0012684759
        0.0003459456        0.0005245207        0.0000049452
       -0.0011439251       -0.0000730432        0.0001623531
        0.0003155857        0.0000390918        0.0000549567
       -0.0012977103        0.0094435040        0.0041560390
       -0.0054479546        0.0066156775       -0.0128224642
        0.0038460723        0.0021803161       -0.0014050160
       -0.0003593905        0.0020845740        0.0004386040
       -0.0000741799        0.0003335960       -0.0002389389
        0.0001067136       -0.0002610722       -0.0000982014
