   22   66
        0.5678117553       -0.1701253697        0.0866013125
       -0.0634690636        0.0222357606       -0.0023617836
       -0.1663994225        0.0009538083       -0.0392245354
        0.0023528630       -0.0024119900       -0.0034048667
       -0.0263001237        0.0014570067       -0.0197384274
       -0.0411811457       -0.0033994554       -0.0173941947
       -0.0017429260        0.0047945368       -0.0016993650
        0.0019842062       -0.0008662437        0.0005956590
        0.0014467144       -0.0025141889        0.0009434843
        0.0020114004       -0.0041375647        0.0003000191
       -0.2434645207        0.0994321095       -0.0286304203
       -0.0309014529        0.0214957012       -0.0062082409
       -0.0024015284        0.0004235817       -0.0017178327
       -0.0002472810        0.0006689321        0.0007584538
       -0.0033379718        0.0002271854       -0.0011135558
        0.0069677683        0.0384577796        0.0274528743
       -0.0023521886       -0.0049906729        0.0039258115
        0.0010435759       -0.0018928137        0.0008191813
       -0.0014092528        0.0015708101        0.0017449737
        0.0001612086       -0.0003108807       -0.0003066564
       -0.0010253733       -0.0008630149       -0.0006946022
        0.0004527587       -0.0002050175       -0.0006472883
       -0.1701253697        0.4467139399        0.3285056884
        0.0255195030       -0.1646722068       -0.2153747353
       -0.0087122714       -0.0861184465       -0.0392624062
       -0.0194300767       -0.0040775269       -0.0111669977
        0.0334585489        0.0063647030        0.0200845984
       -0.0152948247       -0.0054089018       -0.0066849501
        0.0041830848       -0.0062807793        0.0021545782
       -0.0006193315        0.0032247533       -0.0016179026
       -0.0005492247        0.0019029543        0.0000600235
        0.0011704533        0.0025262565       -0.0004151615
        0.1045532037       -0.1474140194       -0.0330175770
        0.0029622165        0.0075006750       -0.0001387418
       -0.0014411662       -0.0000734352       -0.0001927576
        0.0011333364        0.0007386200        0.0017410013
       -0.0015324879        0.0006026323       -0.0009789659
        0.0422233219       -0.0574068248       -0.0454420297
        0.0003663766        0.0017633539        0.0011528539
        0.0008838508       -0.0002249200        0.0007190351
        0.0006746676       -0.0002139670       -0.0007742494
       -0.0000618249        0.0000802633        0.0001651211
        0.0009322559        0.0003415225        0.0003883095
       -0.0002942417        0.0001313539        0.0000952654
        0.0866013125        0.3285056884        0.5207048942
       -0.0029222474       -0.2007668763       -0.2946490649
       -0.0497174171       -0.0333489577       -0.1132525079
       -0.0308870856       -0.0065601291       -0.0183155082
       -0.0131062466        0.0009508651       -0.0075292962
        0.0064243250       -0.0043413463        0.0093150329
       -0.0010754749        0.0017395765        0.0009911827
        0.0003246836       -0.0019595444        0.0008229836
        0.0011534541       -0.0001022864        0.0013553470
        0.0012362363        0.0011018333        0.0012692945
       -0.0057528824       -0.0530250282       -0.1038380378
       -0.0211022489        0.0103343629        0.0074757370
       -0.0036348236       -0.0002790625       -0.0023057597
        0.0005911547        0.0006425603        0.0007407549
       -0.0014823224        0.0004929393       -0.0008300763
        0.0329687002       -0.0449934940       -0.0014448805
        0.0005341585        0.0016537680       -0.0001900690
       -0.0006793946        0.0001783828       -0.0002398344
        0.0005145497       -0.0005929879       -0.0006336935
       -0.0001006251        0.0000276041        0.0003027669
        0.0000191380        0.0000630562       -0.0000834898
        0.0000930558        0.0002790757        0.0003342243
       -0.0634690636        0.0255195030       -0.0029222474
        0.0602319450       -0.0220402475        0.0044224373
        0.0029184992       -0.0194268118       -0.0231043589
       -0.0051737956       -0.0003880617       -0.0021882781
        0.0015357066       -0.0008352504        0.0001879765
        0.0018016921       -0.0030755436       -0.0053841976
       -0.0001311662        0.0001332876        0.0003793135
        0.0000196980        0.0000636596        0.0002238790
       -0.0004823752        0.0010802467        0.0001659239
        0.0006917087        0.0022931489        0.0028672822
        0.0081479634        0.0090761149        0.0261039051
       -0.0006578684        0.0007930919        0.0008189025
        0.0002348505       -0.0003215498       -0.0003075268
       -0.0017668514       -0.0004949245       -0.0013672494
        0.0002226330       -0.0005413073       -0.0001681562
       -0.0037435799        0.0072945598       -0.0008576894
       -0.0002165968        0.0009855045        0.0010149663
       -0.0000611503       -0.0002307266        0.0000687765
        0.0001401866       -0.0000451773       -0.0001650593
       -0.0000736374        0.0000310982        0.0001212415
       -0.0002516470        0.0000123318       -0.0000224123
        0.0000828488        0.0001170538        0.0001125711
        0.0222357606       -0.1646722068       -0.2007668763
       -0.0220402475        0.1802124673        0.2148767586
       -0.0008784551       -0.0011645681        0.0006687904
        0.0004052429        0.0004625850        0.0008803790
       -0.0008279495        0.0014174845        0.0010152569
       -0.0000622892       -0.0013242439       -0.0021154393
       -0.0001536598       -0.0003514779       -0.0003343450
        0.0000194609       -0.0001513223        0.0003657793
        0.0004772613        0.0000576866       -0.0005806131
        0.0008639682        0.0000718843        0.0011533693
       -0.0043343371       -0.0177096539       -0.0158864747
       -0.0017266837       -0.0010727763        0.0022656540
       -0.0007103798        0.0003924858       -0.0001464866
        0.0000566769        0.0008635694       -0.0001198847
        0.0005329941       -0.0002389341       -0.0000601893
        0.0063110700        0.0029258707       -0.0013524127
        0.0000527716        0.0003590027        0.0002253896
       -0.0001288678       -0.0000189120       -0.0000172137
        0.0000471621       -0.0001921145       -0.0001528246
       -0.0000495467        0.0000215373        0.0000233533
       -0.0001115741        0.0000568055       -0.0000170748
        0.0000216218        0.0000548306        0.0000751045
       -0.0023617836       -0.2153747353       -0.2946490649
        0.0044224373        0.2148767586        0.3039961359
        0.0036857864       -0.0069824763       -0.0111205180
       -0.0026373375       -0.0000335135       -0.0008566389
        0.0005092757       -0.0001132644        0.0004125119
        0.0000556020        0.0007405594        0.0015674887
        0.0003611037        0.0001516653        0.0003892260
       -0.0001266269        0.0002454890       -0.0004889307
       -0.0005568285        0.0004329165        0.0001666035
       -0.0001986214        0.0000135346       -0.0008037834
        0.0004910497        0.0049134081       -0.0028437394
       -0.0004203605        0.0012091340       -0.0008943298
        0.0001123068       -0.0000205154       -0.0000345511
       -0.0007596546        0.0002794432        0.0007918699
       -0.0005309095        0.0003319016       -0.0000362402
       -0.0021384185       -0.0004112813        0.0047493411
        0.0000988985       -0.0001806383       -0.0003936553
        0.0000356878        0.0000617201        0.0000053461
       -0.0000456890       -0.0000615071        0.0000956484
        0.0000025550       -0.0000352711       -0.0000080239
       -0.0000370395       -0.0000295385       -0.0000408262
        0.0000385665       -0.0000137892       -0.0000038696
       -0.1663994225       -0.0087122714       -0.0497174171
        0.0029184992       -0.0008784551        0.0036857864
        0.4511053058       -0.0363308870       -0.0383833112
       -0.0651771825        0.0303761847        0.0487611440
       -0.0852053106        0.0386251782       -0.0062459323
       -0.1003393895       -0.0247422075        0.0291326827
       -0.0091153214        0.0229794529       -0.0054051230
        0.0076957996       -0.0210669210        0.0056757043
       -0.0041024455        0.0072913840       -0.0031911686
       -0.0060155693       -0.0002545183        0.0244200563
       -0.0357095446        0.0053593219       -0.0096697822
        0.0027293924        0.0037966295        0.0002124072
        0.0000835996       -0.0000378228       -0.0002021992
        0.0004186947       -0.0005190666       -0.0001199463
       -0.0011856808       -0.0001788001       -0.0004215019
        0.0020068516       -0.0069667140       -0.0047948511
        0.0012327515       -0.0071491930        0.0048811295
        0.0047127703       -0.0000152730        0.0020694562
        0.0004477900       -0.0018962625       -0.0013200218
       -0.0001168343        0.0000244721        0.0002468322
       -0.0001247545       -0.0000286816        0.0000925208
        0.0001400008        0.0003244504        0.0002935351
        0.0009538083       -0.0861184465       -0.0333489577
       -0.0194268118       -0.0011645681       -0.0069824763
       -0.0363308870        0.5219921483        0.0971363777
        0.0341258406       -0.1302556164       -0.1145530716
        0.0257754774       -0.1657975275        0.0188291634
       -0.0195542351       -0.1084618961        0.0193405989
       -0.0033352015        0.0063513925       -0.0024007308
        0.0080895902       -0.0180304230        0.0035435921
        0.0083515350       -0.0201854214        0.0048573115
        0.0112101885        0.0144328854       -0.0147797382
        0.0137076326        0.0073386814        0.0178368445
        0.0043700687        0.0011274911       -0.0044551582
        0.0012479267        0.0001223888        0.0010751235
        0.0000478042        0.0003361707        0.0002545817
       -0.0007404214       -0.0000061509       -0.0001581344
       -0.0003221194       -0.0023179448        0.0001870137
       -0.0242972410       -0.0138251770        0.0155532872
       -0.0031643240       -0.0030438986       -0.0030585670
       -0.0001857417       -0.0018120043        0.0013637887
       -0.0002327479        0.0003485215       -0.0000724183
       -0.0001597517       -0.0009411761       -0.0000551550
       -0.0001303897       -0.0000894289       -0.0001132754
       -0.0392245354       -0.0392624062       -0.1132525079
       -0.0231043589        0.0006687904       -0.0111205180
       -0.0383833112        0.0971363777        0.5523511646
        0.0571572892       -0.1205153344       -0.2233542096
       -0.0021829077        0.0232627299       -0.0860578286
        0.0219062422        0.0221465847       -0.0998560042
       -0.0046801455        0.0155741392       -0.0057592225
       -0.0089464184        0.0182755803       -0.0053345537
        0.0098453167       -0.0250146544        0.0087736215
        0.0354813340        0.0014291730       -0.0349866141
       -0.0104181009        0.0207912594        0.0105700156
        0.0000096411       -0.0041390495        0.0043663153
       -0.0003661060        0.0003343851       -0.0004104761
        0.0003626836        0.0000230960        0.0000530077
        0.0012452922        0.0000184618        0.0005621724
       -0.0000208575       -0.0060726112       -0.0085995435
       -0.0012969495       -0.0018595878        0.0101648130
