   22   66
        0.5817001185       -0.0987337270       -0.0572256415
       -0.0704968929        0.0389385893       -0.0265750727
       -0.1919540021        0.0055339729       -0.0132046286
       -0.0307255598        0.0052780492       -0.0065456097
       -0.0076682362        0.0061329231       -0.0051894551
       -0.0398375305        0.0019866258       -0.0119311011
        0.0015549388       -0.0001582466       -0.0017058660
        0.0009743334       -0.0003354374        0.0009727932
       -0.0008827957        0.0011061760       -0.0007847121
        0.0016299213        0.0007713029        0.0009711809
       -0.2197714167        0.0473308403        0.0674301993
       -0.0326288411        0.0103454460        0.0222605465
       -0.0020834169        0.0009987736        0.0007503566
        0.0000262320       -0.0008396932        0.0013804641
       -0.0044011184        0.0031986085       -0.0007140811
        0.0172842068       -0.0134055396        0.0343342295
       -0.0015654473       -0.0073773758       -0.0041008215
       -0.0024850865       -0.0001608679        0.0003547452
        0.0015163470       -0.0008232206       -0.0000163882
       -0.0002690535        0.0002775537       -0.0001657938
       -0.0003492196        0.0000090190       -0.0000693380
        0.0004325195       -0.0000737720       -0.0002260058
       -0.0987337270        0.3081153571       -0.2808913600
        0.0368698706       -0.1793074060        0.1983668378
        0.0369290510       -0.0700658821        0.0269967728
        0.0041854679       -0.0003285826        0.0018103852
        0.0319151440       -0.0063663865        0.0063092754
       -0.0188154167       -0.0008877679       -0.0066100970
        0.0005932290       -0.0044490855        0.0045934689
        0.0001913739        0.0029569681       -0.0013787483
        0.0000806716        0.0009936126        0.0002013744
       -0.0092805901        0.0025051137       -0.0013231084
        0.0164606894       -0.0738136084        0.0453411548
        0.0179134200        0.0054266489       -0.0086403430
       -0.0004709249        0.0007518483       -0.0006808381
        0.0009477883       -0.0002379704        0.0003592161
        0.0033067476       -0.0012576154        0.0017191977
       -0.0186456575        0.0188052879        0.0159442062
       -0.0028088035       -0.0026486785       -0.0020449205
       -0.0009450239        0.0002028457        0.0001118469
        0.0008461595       -0.0011130222       -0.0004645913
       -0.0004001477        0.0003536188       -0.0001412737
       -0.0001225172        0.0002659766        0.0000828529
       -0.0000168041        0.0000987278        0.0003386911
       -0.0572256415       -0.2808913600        0.6100924604
       -0.0240241000        0.2233588747       -0.2696017037
       -0.0211180724        0.0278466034       -0.1068844481
        0.0317839331       -0.0043883796        0.0085797456
       -0.0252848777        0.0064380556       -0.0052434822
       -0.0176647394       -0.0068759172       -0.0057984940
       -0.0004744952        0.0035995910       -0.0015303434
        0.0002930205       -0.0007214171        0.0004680279
        0.0015286188       -0.0020145559        0.0011198331
       -0.0038274096        0.0045451664        0.0017862145
        0.0779293733        0.0082024031       -0.1646007566
       -0.0013993285        0.0003209932        0.0099257836
       -0.0005442256        0.0007529552        0.0003939483
        0.0021831978       -0.0011365988        0.0015364655
       -0.0029972852        0.0017821267        0.0002191524
        0.0418384123        0.0204841356       -0.0810473946
       -0.0006485541       -0.0019231054        0.0000216378
       -0.0004104101        0.0000211134        0.0002941419
        0.0003702298       -0.0000913607       -0.0008188703
        0.0001306785        0.0000823629        0.0003023208
        0.0001080652        0.0001168770        0.0003120754
       -0.0005463898        0.0004914364        0.0004736857
       -0.0704968929        0.0368698706       -0.0240241000
        0.0760683560       -0.0412097689        0.0271247004
       -0.0037186276        0.0213149180       -0.0266535376
        0.0006633724        0.0004896289        0.0005692749
       -0.0056760079       -0.0007938312       -0.0001673178
       -0.0019717532        0.0026134451       -0.0002224809
       -0.0000414355        0.0014043642       -0.0009778918
        0.0001192873       -0.0001844147        0.0003269553
       -0.0002504645        0.0000029835       -0.0000974137
        0.0011082878       -0.0010957857        0.0000774956
        0.0107687866       -0.0224705104        0.0168858388
       -0.0008158911        0.0008715586        0.0015525571
       -0.0003405263        0.0000776992       -0.0000628517
       -0.0017878810        0.0000117822       -0.0007470195
        0.0001882006       -0.0000616775       -0.0007654041
       -0.0039607772        0.0027118883        0.0072099611
        0.0002296719       -0.0006025574        0.0000156907
       -0.0001090241       -0.0000707209       -0.0000067982
       -0.0000691941        0.0001766303       -0.0000361843
        0.0000865209       -0.0000552991        0.0000698990
        0.0000068114       -0.0000508254       -0.0000069107
       -0.0000008196        0.0000506224       -0.0000644627
        0.0389385893       -0.1793074060        0.2233588747
       -0.0412097689        0.1825736647       -0.2139022010
       -0.0033953395       -0.0054472508        0.0005532702
        0.0000224089        0.0003179461       -0.0003875484
        0.0028353193       -0.0002445015       -0.0000441748
       -0.0020271110        0.0024824526       -0.0003914011
        0.0001815453       -0.0004775655        0.0006742557
       -0.0000192592        0.0001908820       -0.0000091814
       -0.0001211698        0.0001383117       -0.0000652061
        0.0008223203       -0.0013177024        0.0002444593
